leave_id,emp_id,leave_type,start_date,end_date,days_taken,status
LEV0069,EMP007,Sick Leave,08-12-2025,12-12-2025,4,Approved
LEV0070,EMP082,Sick Leave,11-08-2025,17-08-2025,6,Approved
LEV0071,EMP036,Maternity Leave,27-10-2025,29-10-2025,2,Approved
LEV0072,EMP002,Maternity Leave,22-01-2025,01-02-2025,10,Rejected
LEV0073,EMP077,Sick Leave,21-03-2025,27-03-2025,6,Approved
LEV0074,EMP021,Paternity Leave,13-09-2025,15-09-2025,2,Pending
LEV0075,EMP098,Sick Leave,17-11-2025,18-11-2025,1,Pending
LEV0076,EMP083,Sick Leave,20-03-2025,29-03-2025,9,Approved
LEV0077,EMP063,Paternity Leave,30-04-2025,06-05-2025,6,Rejected
LEV0078,EMP097,Casual Leave,27-06-2025,05-07-2025,8,Approved
LEV0079,EMP089,Casual Leave,13-07-2025,19-07-2025,6,Pending
LEV0080,EMP006,Paternity Leave,06-09-2025,14-09-2025,8,Pending
LEV0081,EMP070,Casual Leave,23-12-2025,31-12-2025,8,Rejected
LEV0082,EMP024,Earned Leave,06-10-2025,12-10-2025,6,Rejected
LEV0083,EMP060,Paternity Leave,21-05-2025,31-05-2025,10,Approved
LEV0084,EMP009,Maternity Leave,29-09-2025,02-10-2025,3,Pending
LEV0085,EMP034,Maternity Leave,05-10-2025,11-10-2025,6,Approved
LEV0086,EMP100,Maternity Leave,23-11-2025,02-12-2025,9,Rejected
LEV0087,EMP024,Earned Leave,10-01-2025,20-01-2025,10,Rejected
LEV0088,EMP031,Paternity Leave,14-06-2025,16-06-2025,2,Pending
LEV0089,EMP025,Paternity Leave,26-09-2025,04-10-2025,8,Approved
LEV0090,EMP079,Maternity Leave,25-05-2025,31-05-2025,6,Rejected
LEV0091,EMP042,Paternity Leave,26-02-2025,28-02-2025,2,Rejected
LEV0092,EMP009,Casual Leave,23-01-2025,26-01-2025,3,Approved
LEV0093,EMP026,Casual Leave,24-02-2025,04-03-2025,8,Approved
LEV0094,EMP005,Maternity Leave,20-10-2025,27-10-2025,7,Rejected
LEV0095,EMP080,Earned Leave,26-12-2025,05-01-2026,10,Approved
LEV0096,EMP047,Sick Leave,24-04-2025,04-05-2025,10,Approved
LEV0097,EMP027,Sick Leave,02-12-2025,10-12-2025,8,Pending
LEV0098,EMP082,Paternity Leave,01-02-2025,07-02-2025,6,Rejected
LEV0099,EMP054,Paternity Leave,08-07-2025,09-07-2025,1,Pending
LEV0100,EMP068,Earned Leave,21-01-2025,23-01-2025,2,Approved
LEV0101,EMP028,Sick Leave,23-09-2025,25-09-2025,2,Rejected
LEV0102,EMP030,Casual Leave,30-09-2025,07-10-2025,7,Approved
LEV0103,EMP068,Paternity Leave,03-12-2025,07-12-2025,4,Rejected
LEV0104,EMP023,Maternity Leave,13-10-2025,22-10-2025,9,Rejected
LEV0105,EMP014,Earned Leave,23-11-2025,03-12-2025,10,Rejected
LEV0106,EMP059,Sick Leave,26-12-2025,02-01-2026,7,Approved
LEV0107,EMP024,Paternity Leave,09-10-2025,16-10-2025,7,Pending
LEV0108,EMP085,Paternity Leave,22-03-2025,31-03-2025,9,Pending
LEV0109,EMP046,Earned Leave,11-06-2025,20-06-2025,9,Pending
LEV0110,EMP053,Earned Leave,21-11-2025,28-11-2025,7,Rejected
LEV0111,EMP031,Casual Leave,16-10-2025,25-10-2025,9,Pending
LEV0112,EMP099,Earned Leave,09-10-2025,14-10-2025,5,Pending
LEV0113,EMP058,Sick Leave,23-07-2025,24-07-2025,1,Pending
LEV0114,EMP077,Casual Leave,09-01-2025,18-01-2025,9,Pending
LEV0115,EMP001,Casual Leave,03-06-2025,07-06-2025,4,Pending
LEV0116,EMP003,Paternity Leave,20-12-2025,25-12-2025,5,Rejected
LEV0117,EMP072,Casual Leave,20-10-2025,30-10-2025,10,Approved
LEV0118,EMP005,Casual Leave,24-08-2025,30-08-2025,6,Approved
LEV0119,EMP034,Casual Leave,07-07-2025,17-07-2025,10,Approved
LEV0120,EMP033,Paternity Leave,03-06-2025,05-06-2025,2,Pending
LEV0121,EMP073,Earned Leave,22-04-2025,24-04-2025,2,Pending
LEV0122,EMP023,Sick Leave,07-09-2025,17-09-2025,10,Rejected
LEV0123,EMP083,Paternity Leave,03-06-2025,04-06-2025,1,Pending
LEV0124,EMP011,Earned Leave,29-01-2025,04-02-2025,6,Pending
LEV0125,EMP054,Paternity Leave,03-03-2025,07-03-2025,4,Approved
LEV0126,EMP082,Sick Leave,20-11-2025,27-11-2025,7,Pending
LEV0127,EMP068,Paternity Leave,22-01-2025,28-01-2025,6,Rejected
LEV0128,EMP020,Casual Leave,17-06-2025,26-06-2025,9,Approved
LEV0129,EMP007,Maternity Leave,11-12-2025,18-12-2025,7,Rejected
LEV0130,EMP074,Casual Leave,16-09-2025,18-09-2025,2,Pending
LEV0131,EMP038,Casual Leave,21-07-2025,24-07-2025,3,Pending
LEV0132,EMP011,Sick Leave,01-09-2025,11-09-2025,10,Rejected
LEV0133,EMP052,Maternity Leave,15-05-2025,17-05-2025,2,Rejected
LEV0134,EMP056,Casual Leave,24-12-2025,27-12-2025,3,Pending
LEV0135,EMP072,Maternity Leave,12-04-2025,20-04-2025,8,Rejected
LEV0136,EMP074,Paternity Leave,11-04-2025,20-04-2025,9,Rejected
LEV0137,EMP068,Sick Leave,07-05-2025,11-05-2025,4,Pending
LEV0138,EMP100,Paternity Leave,09-08-2025,15-08-2025,6,Approved
LEV0139,EMP015,Maternity Leave,10-12-2025,17-12-2025,7,Pending
LEV0140,EMP045,Earned Leave,08-04-2025,14-04-2025,6,Rejected
LEV0141,EMP084,Casual Leave,13-01-2025,18-01-2025,5,Pending
LEV0142,EMP079,Casual Leave,15-08-2025,25-08-2025,10,Pending
LEV0143,EMP006,Earned Leave,30-04-2025,04-05-2025,4,Approved
LEV0144,EMP097,Sick Leave,13-02-2025,15-02-2025,2,Approved
LEV0145,EMP080,Sick Leave,17-03-2025,22-03-2025,5,Pending
LEV0146,EMP089,Maternity Leave,26-02-2025,03-03-2025,5,Pending
LEV0147,EMP003,Paternity Leave,19-06-2025,23-06-2025,4,Approved
LEV0148,EMP027,Earned Leave,07-10-2025,16-10-2025,9,Rejected
LEV0149,EMP062,Sick Leave,15-11-2025,18-11-2025,3,Pending
LEV0150,EMP075,Sick Leave,06-12-2025,15-12-2025,9,Pending
LEV0151,EMP022,Casual Leave,31-01-2025,05-02-2025,5,Rejected
LEV0152,EMP080,Maternity Leave,19-05-2025,20-05-2025,1,Rejected
LEV0153,EMP002,Earned Leave,04-02-2025,11-02-2025,7,Rejected
LEV0154,EMP085,Sick Leave,04-07-2025,06-07-2025,2,Pending
LEV0155,EMP084,Maternity Leave,17-07-2025,21-07-2025,4,Rejected
LEV0156,EMP091,Maternity Leave,20-02-2025,26-02-2025,6,Rejected
LEV0157,EMP069,Casual Leave,15-02-2025,18-02-2025,3,Rejected
LEV0158,EMP059,Sick Leave,15-10-2025,16-10-2025,1,Approved
LEV0159,EMP068,Maternity Leave,06-06-2025,12-06-2025,6,Pending
LEV0160,EMP096,Earned Leave,22-03-2025,23-03-2025,1,Rejected
LEV0161,EMP046,Casual Leave,01-07-2025,06-07-2025,5,Rejected
LEV0162,EMP036,Maternity Leave,01-02-2025,06-02-2025,5,Approved
LEV0163,EMP072,Casual Leave,24-05-2025,28-05-2025,4,Pending
LEV0164,EMP051,Sick Leave,03-12-2025,06-12-2025,3,Rejected
LEV0165,EMP049,Casual Leave,24-09-2025,04-10-2025,10,Pending
LEV0166,EMP031,Maternity Leave,21-10-2025,24-10-2025,3,Pending
LEV0167,EMP078,Paternity Leave,18-06-2025,26-06-2025,8,Approved
LEV0168,EMP027,Paternity Leave,01-12-2025,04-12-2025,3,Rejected
LEV0169,EMP088,Earned Leave,14-04-2025,17-04-2025,3,Rejected
LEV0170,EMP091,Maternity Leave,26-09-2025,29-09-2025,3,Approved
LEV0171,EMP084,Earned Leave,17-10-2025,20-10-2025,3,Approved
LEV0172,EMP072,Casual Leave,30-09-2025,02-10-2025,2,Pending
LEV0173,EMP019,Maternity Leave,16-01-2025,22-01-2025,6,Pending
LEV0174,EMP039,Casual Leave,15-08-2025,20-08-2025,5,Approved
LEV0175,EMP014,Sick Leave,09-03-2025,12-03-2025,3,Rejected
LEV0176,EMP079,Paternity Leave,17-05-2025,27-05-2025,10,Rejected
LEV0177,EMP030,Casual Leave,02-11-2025,06-11-2025,4,Rejected
LEV0178,EMP004,Maternity Leave,03-07-2025,05-07-2025,2,Approved
LEV0179,EMP065,Earned Leave,06-11-2025,14-11-2025,8,Approved
LEV0180,EMP050,Casual Leave,09-09-2025,17-09-2025,8,Approved
LEV0181,EMP025,Maternity Leave,26-04-2025,27-04-2025,1,Approved
LEV0182,EMP035,Casual Leave,31-07-2025,04-08-2025,4,Approved
LEV0183,EMP009,Paternity Leave,01-04-2025,09-04-2025,8,Pending
LEV0184,EMP089,Casual Leave,16-06-2025,24-06-2025,8,Pending
LEV0185,EMP052,Maternity Leave,22-01-2025,01-02-2025,10,Rejected
LEV0186,EMP041,Paternity Leave,21-07-2025,31-07-2025,10,Rejected
LEV0187,EMP069,Paternity Leave,26-09-2025,27-09-2025,1,Approved
LEV0188,EMP058,Casual Leave,22-08-2025,23-08-2025,1,Rejected
LEV0189,EMP069,Paternity Leave,22-07-2025,23-07-2025,1,Pending
LEV0190,EMP067,Casual Leave,19-11-2025,20-11-2025,1,Pending
LEV0191,EMP057,Earned Leave,23-07-2025,28-07-2025,5,Pending
LEV0192,EMP022,Paternity Leave,05-08-2025,10-08-2025,5,Approved
LEV0193,EMP089,Maternity Leave,22-09-2025,25-09-2025,3,Rejected
LEV0194,EMP058,Sick Leave,16-02-2025,25-02-2025,9,Approved
LEV0195,EMP100,Casual Leave,27-10-2025,05-11-2025,9,Pending
LEV0196,EMP053,Sick Leave,15-06-2025,23-06-2025,8,Approved
LEV0197,EMP059,Maternity Leave,30-10-2025,03-11-2025,4,Approved
LEV0198,EMP033,Sick Leave,15-06-2025,18-06-2025,3,Approved
LEV0199,EMP015,Earned Leave,28-12-2025,05-01-2026,8,Approved
LEV0200,EMP068,Paternity Leave,29-12-2025,05-01-2026,7,Rejected
LEV0201,EMP021,Maternity Leave,13-07-2025,22-07-2025,9,Approved
LEV0202,EMP099,Paternity Leave,29-03-2025,04-04-2025,6,Rejected
LEV0203,EMP020,Casual Leave,25-03-2025,28-03-2025,3,Rejected
LEV0204,EMP007,Earned Leave,03-08-2025,08-08-2025,5,Rejected
LEV0205,EMP099,Casual Leave,17-08-2025,22-08-2025,5,Approved
LEV0206,EMP017,Paternity Leave,14-04-2025,15-04-2025,1,Pending
LEV0207,EMP002,Maternity Leave,23-08-2025,31-08-2025,8,Rejected
LEV0208,EMP001,Casual Leave,08-11-2025,16-11-2025,8,Approved
LEV0209,EMP076,Maternity Leave,04-12-2025,12-12-2025,8,Pending
LEV0210,EMP057,Paternity Leave,10-02-2025,20-02-2025,10,Approved
LEV0211,EMP032,Paternity Leave,08-10-2025,13-10-2025,5,Rejected
LEV0212,EMP072,Casual Leave,17-04-2025,18-04-2025,1,Approved
LEV0213,EMP008,Sick Leave,01-12-2025,07-12-2025,6,Approved
LEV0214,EMP005,Paternity Leave,08-12-2025,18-12-2025,10,Pending
LEV0215,EMP043,Sick Leave,14-02-2025,15-02-2025,1,Pending
LEV0216,EMP023,Paternity Leave,24-03-2025,29-03-2025,5,Rejected
LEV0217,EMP089,Paternity Leave,25-12-2025,04-01-2026,10,Rejected
LEV0218,EMP023,Earned Leave,22-08-2025,01-09-2025,10,Approved
LEV0219,EMP012,Earned Leave,03-06-2025,09-06-2025,6,Pending
LEV0220,EMP009,Sick Leave,07-08-2025,16-08-2025,9,Pending
LEV0221,EMP061,Earned Leave,10-03-2025,12-03-2025,2,Pending
LEV0222,EMP068,Casual Leave,31-07-2025,09-08-2025,9,Rejected
LEV0223,EMP027,Sick Leave,10-11-2025,11-11-2025,1,Rejected
LEV0224,EMP094,Sick Leave,19-11-2025,28-11-2025,9,Pending
LEV0225,EMP093,Earned Leave,19-12-2025,29-12-2025,10,Pending
LEV0226,EMP078,Paternity Leave,12-06-2025,17-06-2025,5,Rejected
LEV0227,EMP080,Paternity Leave,01-07-2025,04-07-2025,3,Rejected
LEV0228,EMP064,Maternity Leave,24-09-2025,02-10-2025,8,Approved
LEV0229,EMP079,Casual Leave,30-04-2025,05-05-2025,5,Approved
LEV0230,EMP016,Sick Leave,13-01-2025,21-01-2025,8,Rejected
LEV0231,EMP027,Maternity Leave,12-11-2025,19-11-2025,7,Approved
LEV0232,EMP043,Casual Leave,29-06-2025,08-07-2025,9,Approved
LEV0233,EMP082,Earned Leave,14-04-2025,19-04-2025,5,Approved
LEV0234,EMP040,Paternity Leave,03-06-2025,12-06-2025,9,Pending
LEV0235,EMP099,Earned Leave,04-01-2025,06-01-2025,2,Pending
LEV0236,EMP051,Sick Leave,19-10-2025,29-10-2025,10,Approved
LEV0237,EMP025,Maternity Leave,19-06-2025,25-06-2025,6,Pending
LEV0238,EMP005,Maternity Leave,27-11-2025,30-11-2025,3,Approved
LEV0239,EMP081,Earned Leave,24-08-2025,02-09-2025,9,Pending
LEV0240,EMP053,Earned Leave,29-01-2025,07-02-2025,9,Rejected
LEV0241,EMP093,Paternity Leave,14-12-2025,20-12-2025,6,Rejected
LEV0242,EMP003,Earned Leave,17-04-2025,27-04-2025,10,Pending
LEV0243,EMP009,Sick Leave,18-03-2025,23-03-2025,5,Pending
LEV0244,EMP049,Casual Leave,17-11-2025,26-11-2025,9,Rejected
LEV0245,EMP078,Paternity Leave,19-07-2025,22-07-2025,3,Approved
LEV0246,EMP097,Sick Leave,07-06-2025,13-06-2025,6,Pending
LEV0247,EMP053,Casual Leave,14-02-2025,22-02-2025,8,Pending
LEV0248,EMP058,Paternity Leave,04-06-2025,08-06-2025,4,Pending
LEV0249,EMP023,Sick Leave,27-02-2025,05-03-2025,6,Approved
LEV0250,EMP012,Sick Leave,16-08-2025,25-08-2025,9,Pending
LEV0251,EMP065,Earned Leave,20-03-2025,24-03-2025,4,Pending
LEV0252,EMP094,Earned Leave,26-09-2025,01-10-2025,5,Approved
LEV0253,EMP099,Casual Leave,20-02-2025,01-03-2025,9,Approved
LEV0254,EMP093,Maternity Leave,19-01-2025,27-01-2025,8,Rejected
LEV0255,EMP067,Earned Leave,01-03-2025,02-03-2025,1,Approved
LEV0256,EMP088,Earned Leave,01-11-2025,03-11-2025,2,Pending
LEV0257,EMP006,Earned Leave,22-02-2025,03-03-2025,9,Approved
LEV0258,EMP074,Earned Leave,09-06-2025,13-06-2025,4,Approved
LEV0259,EMP025,Paternity Leave,27-05-2025,01-06-2025,5,Pending
LEV0260,EMP099,Earned Leave,14-08-2025,16-08-2025,2,Approved
LEV0261,EMP021,Sick Leave,21-05-2025,23-05-2025,2,Rejected
LEV0262,EMP072,Casual Leave,21-09-2025,23-09-2025,2,Rejected
LEV0263,EMP045,Earned Leave,09-10-2025,15-10-2025,6,Approved
LEV0264,EMP091,Casual Leave,26-05-2025,05-06-2025,10,Approved
LEV0265,EMP010,Earned Leave,09-06-2025,19-06-2025,10,Rejected
LEV0266,EMP057,Sick Leave,26-01-2025,29-01-2025,3,Pending
LEV0267,EMP087,Maternity Leave,26-01-2025,28-01-2025,2,Approved
LEV0268,EMP012,Casual Leave,07-08-2025,14-08-2025,7,Rejected
LEV0269,EMP077,Paternity Leave,31-10-2025,08-11-2025,8,Pending
LEV0270,EMP040,Paternity Leave,20-06-2025,24-06-2025,4,Approved
LEV0271,EMP097,Casual Leave,27-08-2025,06-09-2025,10,Approved
LEV0272,EMP090,Maternity Leave,28-08-2025,30-08-2025,2,Pending
LEV0273,EMP088,Maternity Leave,26-11-2025,04-12-2025,8,Approved
LEV0274,EMP029,Earned Leave,15-03-2025,25-03-2025,10,Pending
LEV0275,EMP051,Earned Leave,04-04-2025,10-04-2025,6,Pending
LEV0276,EMP063,Maternity Leave,16-01-2025,18-01-2025,2,Approved
LEV0277,EMP045,Casual Leave,03-09-2025,11-09-2025,8,Pending
LEV0278,EMP099,Paternity Leave,28-06-2025,08-07-2025,10,Approved
LEV0279,EMP066,Sick Leave,22-02-2025,01-03-2025,7,Pending
LEV0280,EMP072,Earned Leave,29-11-2025,01-12-2025,2,Rejected
LEV0281,EMP060,Maternity Leave,25-07-2025,04-08-2025,10,Approved
LEV0282,EMP080,Casual Leave,05-05-2025,14-05-2025,9,Pending
LEV0283,EMP050,Casual Leave,03-02-2025,09-02-2025,6,Rejected
LEV0284,EMP076,Paternity Leave,09-08-2025,16-08-2025,7,Pending
LEV0285,EMP070,Casual Leave,22-12-2025,26-12-2025,4,Rejected
LEV0286,EMP086,Maternity Leave,09-02-2025,19-02-2025,10,Approved
LEV0287,EMP076,Earned Leave,02-11-2025,10-11-2025,8,Rejected
LEV0288,EMP013,Earned Leave,16-08-2025,19-08-2025,3,Pending
LEV0289,EMP009,Paternity Leave,03-11-2025,05-11-2025,2,Pending
LEV0290,EMP042,Sick Leave,11-09-2025,12-09-2025,1,Approved
LEV0291,EMP018,Casual Leave,25-10-2025,26-10-2025,1,Rejected
LEV0292,EMP020,Earned Leave,20-08-2025,29-08-2025,9,Pending
LEV0293,EMP079,Casual Leave,23-10-2025,31-10-2025,8,Approved
LEV0294,EMP088,Paternity Leave,12-06-2025,17-06-2025,5,Rejected
LEV0295,EMP039,Sick Leave,11-08-2025,17-08-2025,6,Rejected
LEV0296,EMP002,Maternity Leave,10-11-2025,19-11-2025,9,Approved
LEV0297,EMP038,Paternity Leave,01-02-2025,07-02-2025,6,Approved
LEV0298,EMP001,Earned Leave,27-12-2025,05-01-2026,9,Approved
LEV0299,EMP037,Maternity Leave,16-01-2025,20-01-2025,4,Rejected
LEV0300,EMP076,Maternity Leave,21-07-2025,27-07-2025,6,Pending
