analysis_id,client_id,project_id,revenue_id,gross_revenue,actual_cost,net_profit,profit_margin_percentage,resource_cost,operational_cost,tax_cost,discount_cost,profitability_score,profitability_band,analysis_date
PRF00023,CLT039,PRJ008,REV00023,1890642,1042449,507877.44,32.76,152727,186396,340315.56,49689,60,Medium,03-08-2025
PRF00024,CLT014,PRJ015,REV00024,2881159,1947548,415002.38,17.57,751517,129892,518608.62,31266,48,Low,13-11-2025
PRF00025,CLT031,PRJ004,REV00025,1878419,1238990,301313.58,19.56,970917,378855,338115.42,31830,46,Low,13-04-2026
PRF00026,CLT020,PRJ020,REV00026,1065483,843645,30051.06,3.44,869440,323545,191786.94,85256,57,Low,02-05-2026
PRF00027,CLT040,PRJ018,REV00027,4105871,2617258,749556.22,22.26,322423,236030,739056.78,33862,61,Medium,05-04-2026
PRF00028,CLT018,PRJ020,REV00028,2367508,1529792,411564.56,21.2,709805,243472,426151.44,62031,75,Medium,19-11-2025
PRF00029,CLT034,PRJ012,REV00029,4666993,2560516,1266418.26,33.09,718226,448567,840058.74,68765,78,Medium,30-07-2025
PRF00030,CLT019,PRJ004,REV00030,1678376,981986,394282.32,28.65,561865,228628,302107.68,24164,43,Medium,12-09-2025
PRF00031,CLT017,PRJ016,REV00031,598140,344299,146175.8,29.8,717113,274830,107665.2,40026,76,Medium,14-10-2025
PRF00032,CLT040,PRJ002,REV00032,882431,461912,261681.42,36.16,576086,87318,158837.58,90096,54,High,12-03-2026
PRF00033,CLT017,PRJ019,REV00033,1709427,1129560,272170.14,19.42,666211,308890,307696.86,57377,45,Low,03-03-2026
PRF00034,CLT039,PRJ002,REV00034,3674119,2145604,867173.58,28.78,765620,476898,661341.42,64451,45,Medium,14-10-2025
PRF00035,CLT031,PRJ012,REV00035,2845993,1811704,522010.26,22.37,533321,78418,512278.74,24586,73,Medium,18-05-2026
PRF00036,CLT024,PRJ020,REV00036,4231663,3004242,465721.66,13.42,982277,109486,761699.34,60482,100,Low,27-07-2025
PRF00037,CLT008,PRJ005,REV00037,2498312,1532914,515701.84,25.17,380150,480204,449696.16,336,58,Medium,23-06-2025
PRF00038,CLT020,PRJ019,REV00038,4157400,1974587,1434481,42.08,930884,480308,748332,85461,49,High,07-05-2026
PRF00039,CLT032,PRJ002,REV00039,4263523,2943107,552981.86,15.82,853629,448145,767434.14,63956,95,Low,31-10-2025
PRF00040,CLT035,PRJ002,REV00040,623954,311124,200518.28,39.19,475876,246524,112311.72,56450,49,High,04-09-2025
PRF00041,CLT016,PRJ017,REV00041,4797348,3348778,585047.36,14.87,673149,132824,863522.64,9681,68,Low,26-07-2025
PRF00042,CLT023,PRJ019,REV00042,3609361,1968237,991439.02,33.5,819112,458059,649684.98,97605,43,Medium,14-01-2026
PRF00043,CLT039,PRJ016,REV00043,2450770,1793731,215900.4,10.74,867934,118897,441138.6,11813,98,Low,15-01-2026
PRF00044,CLT019,PRJ011,REV00044,3535492,1782539,1116564.44,38.51,194689,464545,636388.56,51717,40,High,02-08-2025
PRF00045,CLT017,PRJ018,REV00045,3865021,2318988,850329.22,26.83,246566,73774,695703.78,4877,59,Medium,23-07-2025
PRF00046,CLT032,PRJ004,REV00046,2019645,1371516,284592.9,17.18,997004,240151,363536.1,13022,83,Low,24-12-2025
PRF00047,CLT024,PRJ018,REV00047,3058774,1350491,1157703.68,46.16,952547,172158,550579.32,43064,89,High,21-02-2026
PRF00048,CLT010,PRJ020,REV00048,2375949,1850483,97795.18,5.02,219169,440943,427670.82,8330,70,Low,31-10-2025
PRF00049,CLT029,PRJ012,REV00049,964811,622905,168240.02,21.27,737846,127769,173665.98,8609,48,Medium,02-05-2026
PRF00050,CLT018,PRJ020,REV00050,4960394,3134143,933380.08,22.95,518098,268098,892870.92,95631,46,Medium,03-02-2026
PRF00051,CLT021,PRJ014,REV00051,2188170,1267751,526548.4,29.35,886730,271740,393870.6,94510,43,Medium,19-11-2025
PRF00052,CLT019,PRJ020,REV00052,2999822,1417194,1042660.04,42.39,836833,449722,539967.96,40499,98,High,25-10-2025
PRF00053,CLT022,PRJ012,REV00053,1571740,778906,509920.8,39.56,189083,77582,282913.2,20392,50,High,19-10-2025
PRF00054,CLT040,PRJ002,REV00054,734355,436402,165769.1,27.53,728437,78721,132183.9,1007,53,Medium,26-07-2025
PRF00055,CLT020,PRJ007,REV00055,1201208,881123,103867.56,10.55,181644,214133,216217.44,75465,67,Low,10-10-2025
PRF00056,CLT037,PRJ013,REV00056,3553870,2028705,885468.4,30.38,449247,458482,639696.6,22037,44,Medium,11-03-2026
PRF00057,CLT033,PRJ004,REV00057,4327787,2137759,1411026.34,39.76,570711,407110,779001.66,73989,81,High,06-10-2025
PRF00058,CLT040,PRJ011,REV00058,2701965,1397366,818245.3,36.93,722937,315849,486353.7,50394,69,High,16-08-2025
PRF00059,CLT038,PRJ018,REV00059,394123,275543,47637.86,14.74,739427,133228,70942.14,47696,63,Low,10-07-2025
PRF00060,CLT019,PRJ013,REV00060,2888429,1265189,1103322.78,46.58,188834,212310,519917.22,73259,64,High,16-04-2026
PRF00061,CLT022,PRJ005,REV00061,4465707,1982267,1679612.74,45.87,237414,363129,803827.26,49377,49,High,18-09-2025
PRF00062,CLT011,PRJ006,REV00062,1438643,1034390,145297.26,12.32,538997,134965,258955.74,26174,91,Low,03-07-2025
PRF00063,CLT039,PRJ005,REV00063,2147178,913585,847100.96,48.11,535050,77921,386492.04,51964,72,High,22-03-2026
PRF00064,CLT024,PRJ008,REV00064,734556,490384,111951.92,18.59,975522,128391,132220.08,71932,100,Low,06-12-2025
PRF00065,CLT039,PRJ017,REV00065,982702,544128,261687.64,32.47,536802,148206,176886.36,87080,82,Medium,25-03-2026
PRF00066,CLT006,PRJ017,REV00066,617735,384997,121545.7,24,469412,336268,111192.3,44374,92,Medium,21-07-2025
PRF00067,CLT012,PRJ015,REV00067,4064210,2950530,382122.2,11.47,889882,389162,731557.8,25048,58,Low,13-06-2025
PRF00068,CLT023,PRJ002,REV00068,2834386,1706730,617466.52,26.57,962287,144611,510189.48,71496,58,Medium,23-01-2026
PRF00069,CLT021,PRJ004,REV00069,2800791,1740317,556331.62,24.22,812413,133879,504142.38,4081,49,Medium,01-06-2026
PRF00070,CLT039,PRJ015,REV00070,1108894,478806,430487.08,47.34,781113,196113,199600.92,32717,47,High,26-12-2025
PRF00071,CLT002,PRJ006,REV00071,4393162,2568835,1033557.84,28.69,464301,422003,790769.16,8511,75,Medium,15-05-2026
PRF00072,CLT035,PRJ010,REV00072,2566218,1919204,185094.76,8.8,741674,95201,461919.24,8617,59,Low,17-10-2025
PRF00073,CLT026,PRJ016,REV00073,3495999,2257043,609676.18,21.27,418897,136327,629279.82,21229,60,Medium,29-05-2026
PRF00074,CLT015,PRJ012,REV00074,2432769,1860132,134738.58,6.75,147670,386306,437898.42,75598,56,Low,22-01-2026
PRF00075,CLT014,PRJ019,REV00075,304056,186900,62425.92,25.04,427766,426629,54730.08,41853,86,Medium,13-04-2026
PRF00076,CLT023,PRJ013,REV00076,3158316,2343317,246502.12,9.52,427905,149527,568496.88,20885,71,Low,15-08-2025
PRF00077,CLT033,PRJ015,REV00077,2638225,2098351,64993.5,3,377319,431423,474880.5,47943,88,Low,29-12-2025
PRF00078,CLT026,PRJ012,REV00078,3410322,1471413,1325051.04,47.38,731728,316926,613857.96,52610,72,High,06-12-2025
PRF00079,CLT003,PRJ002,REV00079,1199544,853944,129682.08,13.18,597960,477687,215917.92,2180,63,Low,25-01-2026
PRF00080,CLT022,PRJ004,REV00080,4946448,2623826,1432261.36,35.31,700383,417274,890360.64,14404,52,High,20-11-2025
PRF00081,CLT002,PRJ015,REV00081,3562983,1742767,1178879.06,40.35,458955,336404,641336.94,46437,83,High,24-03-2026
PRF00082,CLT017,PRJ020,REV00082,1662828,923625,439893.96,32.26,910616,471850,299309.04,19198,58,Medium,03-12-2025
PRF00083,CLT003,PRJ010,REV00083,712946,466772,117843.72,20.16,205065,266688,128330.28,43292,85,Medium,06-11-2025
PRF00084,CLT031,PRJ004,REV00084,1203157,483978,502610.74,50.94,138105,488411,216568.26,52034,90,High,16-07-2025
PRF00085,CLT032,PRJ006,REV00085,2478224,1910620,121523.68,5.98,369761,426752,446080.32,24405,40,Low,21-09-2025
PRF00086,CLT022,PRJ010,REV00086,1670354,852160,517530.28,37.78,445637,208306,300663.72,76344,86,High,17-03-2026
PRF00087,CLT037,PRJ001,REV00087,3066141,1722018,792217.62,31.51,675914,296849,551905.38,99267,74,Medium,05-12-2025
PRF00088,CLT014,PRJ008,REV00088,736777,570226,33931.14,5.62,315379,425871,132619.86,76434,71,Low,04-04-2026
PRF00089,CLT006,PRJ017,REV00089,516706,325546,98152.92,23.17,166857,333725,93007.08,7897,99,Medium,17-11-2025
PRF00090,CLT005,PRJ016,REV00090,2458291,1412044,603754.62,29.95,512151,327265,442492.38,16691,86,Medium,13-10-2025
PRF00091,CLT015,PRJ001,REV00091,240717,135393,61994.94,31.41,205797,361397,43329.06,4400,68,Medium,03-05-2026
PRF00092,CLT039,PRJ002,REV00092,421084,273884,71404.88,20.68,646571,165890,75795.12,54206,59,Medium,12-12-2025
PRF00093,CLT018,PRJ002,REV00093,1519123,1055601,190079.86,15.26,999197,420974,273442.14,18920,91,Low,25-09-2025
PRF00094,CLT030,PRJ002,REV00094,3511789,2278195,601471.98,20.89,859489,402033,632122.02,73249,53,Medium,16-06-2025
PRF00095,CLT031,PRJ007,REV00095,2843107,1773073,558274.74,23.95,477114,318863,511759.26,65179,69,Medium,09-04-2026
PRF00096,CLT007,PRJ016,REV00096,2736311,1520513,723262.02,32.23,818113,226980,492535.98,33728,88,Medium,16-10-2025
PRF00097,CLT032,PRJ016,REV00097,1461246,953781,244440.72,20.4,630299,289080,263024.28,48916,43,Medium,04-06-2025
PRF00098,CLT040,PRJ020,REV00098,4103410,3023983,340813.2,10.13,256130,176337,738613.8,25156,79,Low,18-02-2026
PRF00099,CLT034,PRJ009,REV00099,3023267,1769926,709152.94,28.61,279708,93351,544188.06,65517,94,Medium,14-07-2025
PRF00100,CLT028,PRJ011,REV00100,849953,616888,80073.46,11.49,251195,444397,152991.54,93416,92,Low,15-12-2025
PRF00101,CLT026,PRJ003,REV00101,1412731,817245,341194.42,29.45,386604,460804,254291.58,59054,71,Medium,04-03-2026
PRF00102,CLT015,PRJ012,REV00102,3199309,2185373,438060.38,16.7,105447,211620,575875.62,58292,63,Low,13-03-2026
PRF00103,CLT018,PRJ004,REV00103,782302,411167,230320.64,35.9,860053,343358,140814.36,31816,76,High,06-10-2025
PRF00104,CLT034,PRJ006,REV00104,3243811,1652994,1006931.02,37.86,242071,209728,583885.98,887,100,High,29-08-2025
PRF00105,CLT026,PRJ011,REV00105,3236747,1985797,668335.54,25.18,393916,478078,582614.46,51502,63,Medium,31-05-2026
PRF00106,CLT008,PRJ019,REV00106,4627068,2228161,1566034.76,41.27,570880,363489,832872.24,62814,77,High,30-12-2025
PRF00107,CLT026,PRJ018,REV00107,3558960,2563690,354657.2,12.15,203396,185653,640612.8,29098,72,Low,20-06-2025
PRF00108,CLT034,PRJ018,REV00108,4875424,2413706,1584141.68,39.62,606384,232609,877576.32,62411,46,High,05-10-2025
PRF00109,CLT029,PRJ015,REV00109,613499,324111,178958.18,35.57,936507,262361,110429.82,82543,51,High,06-08-2025
PRF00110,CLT012,PRJ014,REV00110,294882,214602,27201.24,11.25,219490,187548,53078.76,87910,95,Low,01-04-2026
PRF00111,CLT032,PRJ017,REV00111,2679024,1886644,310155.68,14.12,507333,269277,482224.32,78174,48,Low,24-07-2025
PRF00112,CLT037,PRJ013,REV00112,1608214,1153595,165140.48,12.52,688861,314995,289478.52,85599,71,Low,26-10-2025
PRF00113,CLT027,PRJ016,REV00113,3773298,2534196,559908.36,18.1,963274,242341,679193.64,71046,92,Low,06-04-2026
PRF00114,CLT003,PRJ015,REV00114,1883262,1199111,345163.84,22.35,953047,158497,338987.16,7780,76,Medium,29-09-2025
PRF00115,CLT023,PRJ018,REV00115,4569518,2180919,1566085.76,41.8,511776,306617,822513.24,18634,76,High,24-01-2026
PRF00116,CLT018,PRJ014,REV00116,3841581,1695001,1455095.42,46.19,517035,164205,691484.58,56314,92,High,30-11-2025
PRF00117,CLT014,PRJ016,REV00117,2758389,1698092,563786.98,24.93,238320,390785,496510.02,39566,50,Medium,28-06-2025
PRF00118,CLT018,PRJ003,REV00118,3073551,1754524,765787.82,30.38,644676,406506,553239.18,58335,40,Medium,11-06-2025
PRF00119,CLT001,PRJ011,REV00119,1061613,646059,224463.66,25.78,468247,428762,191090.34,27925,80,Medium,04-06-2025
PRF00120,CLT010,PRJ014,REV00120,3760984,1959988,1124018.88,36.45,642899,368204,676977.12,66784,52,High,07-09-2025
PRF00121,CLT026,PRJ010,REV00121,507759,265844,150518.38,36.15,117500,357947,91396.62,8851,40,High,05-02-2026
PRF00122,CLT017,PRJ007,REV00122,557249,429806,27138.18,5.94,765105,450149,100304.82,85175,83,Low,26-01-2026
PRF00123,CLT005,PRJ010,REV00123,3719898,1988417,1061899.36,34.81,921021,481230,669581.64,94472,56,Medium,28-02-2026
PRF00124,CLT011,PRJ012,REV00124,2304559,1690361,199377.38,10.55,910894,103951,414820.62,75223,83,Low,01-01-2026
PRF00125,CLT008,PRJ008,REV00125,4318332,1732718,1808314.24,51.07,490917,112600,777299.76,65803,83,High,08-06-2025
PRF00126,CLT004,PRJ006,REV00126,4376626,1846969,1741864.32,48.54,617326,455071,787792.68,25614,86,High,06-05-2026
PRF00127,CLT035,PRJ008,REV00127,103501,68272,16598.82,19.56,846221,196709,18630.18,12193,42,Low,22-07-2025
PRF00128,CLT015,PRJ017,REV00128,3174689,2231331,371913.98,14.29,385166,172479,571444.02,9789,100,Low,23-01-2026
PRF00129,CLT013,PRJ005,REV00129,4954886,2210486,1852520.52,45.59,325465,488265,891879.48,42964,49,High,30-07-2025
PRF00130,CLT006,PRJ008,REV00130,3373939,2426377,340252.98,12.3,307757,481842,607309.02,52505,63,Low,29-05-2026
PRF00131,CLT006,PRJ019,REV00131,2221144,1740684,80654.08,4.43,816400,273694,399805.92,22650,62,Low,21-10-2025
PRF00132,CLT014,PRJ006,REV00132,2397590,1426712,539311.8,27.43,501078,459949,431566.2,93502,62,Medium,05-10-2025
PRF00133,CLT031,PRJ018,REV00133,4115786,2367805,1007139.52,29.84,659614,477968,740841.48,96607,43,Medium,19-07-2025
PRF00134,CLT015,PRJ019,REV00134,3308324,2067408,645417.68,23.79,139807,97320,595498.32,7362,54,Medium,18-09-2025
PRF00135,CLT039,PRJ008,REV00135,4466170,2788883,873376.4,23.85,838761,397151,803910.6,51851,77,Medium,31-10-2025
PRF00136,CLT007,PRJ011,REV00136,2756191,1388635,871441.62,38.56,101885,418054,496114.38,75082,65,High,04-06-2025
PRF00137,CLT037,PRJ002,REV00137,2719396,1551008,678896.72,30.45,855408,50671,489491.28,6310,64,Medium,08-09-2025
PRF00138,CLT029,PRJ014,REV00138,3523044,2443284,445612.08,15.42,178645,336809,634147.92,12203,61,Low,08-08-2025
PRF00139,CLT039,PRJ020,REV00139,4099489,3117248,244332.98,7.27,511987,349772,737908.02,72045,93,Low,09-10-2025
PRF00140,CLT032,PRJ005,REV00140,3076852,1238741,1284277.64,50.9,377877,97781,553833.36,84130,74,High,02-12-2025
PRF00141,CLT025,PRJ006,REV00141,3249794,2074608,590223.08,22.15,981639,252955,584962.92,68495,66,Medium,10-09-2025
PRF00142,CLT035,PRJ016,REV00142,2026708,1310080,351820.56,21.17,370413,217640,364807.44,95302,98,Medium,16-06-2025
PRF00143,CLT005,PRJ003,REV00143,4717121,2720161,1147878.22,29.68,460572,265424,849081.78,34620,64,Medium,04-10-2025
PRF00144,CLT032,PRJ019,REV00144,4018202,1685851,1609074.64,48.83,999924,415000,723276.36,89764,46,High,03-10-2025
PRF00145,CLT015,PRJ005,REV00145,3767081,2179741,909265.42,29.44,696296,65177,678074.58,22772,52,Medium,17-06-2025
PRF00146,CLT013,PRJ002,REV00146,327420,190795,77689.4,28.94,466749,230485,58935.6,21432,93,Medium,21-11-2025
PRF00147,CLT017,PRJ003,REV00147,280271,162775,67047.22,29.17,334639,182325,50448.78,79736,91,Medium,13-01-2026
PRF00148,CLT020,PRJ009,REV00148,3208104,2014537,616108.28,23.42,771712,220465,577458.72,36291,56,Medium,15-02-2026
PRF00149,CLT020,PRJ007,REV00149,4389373,3361065,238220.86,6.62,137034,355672,790087.14,92808,76,Low,06-02-2026
PRF00150,CLT013,PRJ011,REV00150,1915317,1485782,84777.94,5.4,193637,166524,344757.06,46567,54,Low,25-03-2026
PRF00151,CLT020,PRJ014,REV00151,2829289,1911189,408827.98,17.62,995735,129051,509272.02,18004,52,Low,30-09-2025
PRF00152,CLT022,PRJ014,REV00152,3888387,1855716,1332761.34,41.8,744328,277389,699909.66,83032,67,High,26-08-2025
PRF00153,CLT026,PRJ014,REV00153,3265491,1315987,1361715.62,50.85,420984,137566,587788.38,8557,92,High,28-12-2025
PRF00154,CLT003,PRJ010,REV00154,3874587,3076208,100953.34,3.18,629146,138596,697425.66,16143,63,Low,19-04-2026
PRF00155,CLT003,PRJ013,REV00155,2195715,1686999,113487.3,6.3,819050,380464,395228.7,1219,59,Low,22-07-2025
PRF00156,CLT027,PRJ004,REV00156,4414670,2332051,1287978.4,35.58,529660,204849,794640.6,21020,42,High,17-05-2026
PRF00157,CLT036,PRJ016,REV00157,1792263,1220917,248738.66,16.92,152512,102328,322607.34,22898,95,Low,01-06-2026
PRF00158,CLT003,PRJ010,REV00158,2673177,1962646,229359.14,10.46,519692,289357,481171.86,35629,93,Low,24-10-2025
PRF00159,CLT025,PRJ016,REV00159,3587810,2795853,146151.2,4.97,218423,265631,645805.8,57761,42,Low,04-03-2026
PRF00160,CLT005,PRJ009,REV00160,2686018,1100328,1102206.76,50.04,993251,309960,483483.24,21679,44,High,13-10-2025
PRF00161,CLT032,PRJ011,REV00161,2825747,1713635,603477.54,26.04,137572,342097,508634.46,71971,40,Medium,24-06-2025
PRF00162,CLT006,PRJ020,REV00162,2605152,1975408,160816.64,7.53,896204,395458,468927.36,29064,40,Low,14-07-2025
PRF00163,CLT022,PRJ012,REV00163,2499335,1574029,475425.7,23.2,148759,382000,449880.3,88098,77,Medium,07-12-2025
PRF00164,CLT008,PRJ015,REV00164,4993542,3054794,1039910.44,25.4,826155,449703,898837.56,32537,57,Medium,30-11-2025
PRF00165,CLT026,PRJ011,REV00165,3848745,1819199,1336771.9,42.36,828038,383907,692774.1,42255,85,High,02-05-2026
PRF00166,CLT008,PRJ012,REV00166,4079634,2854086,491213.88,14.68,980155,82523,734334.12,90517,90,Low,04-08-2025
PRF00167,CLT019,PRJ007,REV00167,4589680,1903623,1859914.6,49.42,156415,56797,826142.4,97474,56,High,13-08-2025
PRF00168,CLT013,PRJ020,REV00168,3766688,1979684,1109000.16,35.91,236384,134373,678003.84,76544,94,High,22-07-2025
PRF00169,CLT017,PRJ001,REV00169,3961870,3073074,175659.4,5.41,663123,261506,713136.6,12051,62,Low,08-01-2026
PRF00170,CLT015,PRJ007,REV00170,2834040,1827912,496000.8,21.34,369054,333239,510127.2,94892,58,Medium,23-11-2025
PRF00171,CLT002,PRJ017,REV00171,3195376,2356734,263474.32,10.06,663876,484502,575167.68,92109,96,Low,15-08-2025
PRF00172,CLT028,PRJ003,REV00172,1339786,560820,537804.52,48.95,106185,386290,241161.48,94409,79,High,01-04-2026
PRF00173,CLT005,PRJ019,REV00173,658924,451106,89211.68,16.51,810189,466817,118606.32,95594,81,Low,23-09-2025
PRF00174,CLT024,PRJ001,REV00174,4706262,2178986,1680148.84,43.54,975297,182509,847127.16,25470,47,High,18-04-2026
PRF00175,CLT012,PRJ019,REV00175,506242,399377,15741.44,3.79,433222,304731,91123.56,59067,61,Low,14-01-2026
PRF00176,CLT040,PRJ010,REV00176,4950372,2299743,1759562.04,43.35,476167,456201,891066.96,40038,71,High,07-09-2025
PRF00177,CLT036,PRJ004,REV00177,737645,442181,162687.9,26.9,595036,392836,132776.1,19481,63,Medium,17-12-2025
PRF00178,CLT026,PRJ008,REV00178,4995929,3536059,560602.78,13.68,329448,449230,899267.22,63916,54,Low,11-02-2026
PRF00179,CLT005,PRJ009,REV00179,2013090,850123,800610.8,48.5,716225,392536,362356.2,10202,73,High,03-04-2026
PRF00180,CLT017,PRJ013,REV00180,1919814,1309380,264867.48,16.83,852146,478319,345566.52,15509,82,Low,28-08-2025
PRF00181,CLT015,PRJ014,REV00181,2820126,1365738,946765.32,40.94,288783,320868,507622.68,53143,78,High,08-07-2025
PRF00182,CLT037,PRJ001,REV00182,2427789,1061028,929758.98,46.7,172187,170488,437002.02,49572,64,High,19-02-2026
PRF00183,CLT009,PRJ004,REV00183,1747422,1247070,185816.04,12.97,541119,244184,314535.96,5693,84,Low,26-05-2026
PRF00184,CLT034,PRJ014,REV00184,4094344,3249758,107604.08,3.21,879769,463884,736981.92,932,76,Low,03-11-2025
PRF00185,CLT034,PRJ004,REV00185,110348,68716,21769.36,24.06,678923,460930,19862.64,73080,70,Medium,27-02-2026
PRF00186,CLT012,PRJ012,REV00186,4704933,2896491,961554.06,24.92,766764,52773,846887.94,11939,92,Medium,28-01-2026
PRF00187,CLT010,PRJ016,REV00187,3702210,1665728,1370084.2,45.13,922041,364318,666397.8,66918,73,High,24-12-2025
PRF00188,CLT015,PRJ020,REV00188,352502,235303,53748.64,18.59,337288,367909,63450.36,25496,69,Low,02-07-2025
PRF00189,CLT026,PRJ019,REV00189,2240328,1079668,757400.96,41.23,128679,302691,403259.04,15239,56,High,10-02-2026
PRF00190,CLT005,PRJ013,REV00190,1898700,1469274,87660,5.63,470711,164591,341766,75197,57,Low,13-10-2025
PRF00191,CLT012,PRJ007,REV00191,1724924,936238,478199.68,33.81,750817,215369,310486.32,64532,97,Medium,01-08-2025
PRF00192,CLT037,PRJ009,REV00192,1584040,1169578,129334.8,9.96,709231,102820,285127.2,42655,63,Low,20-03-2026
PRF00193,CLT040,PRJ009,REV00193,4651683,2411907,1402473.06,36.77,383062,471573,837302.94,30907,75,High,28-07-2025
PRF00194,CLT028,PRJ013,REV00194,1273425,928820,115388.5,11.05,599687,489862,229216.5,82557,46,Low,08-01-2026
PRF00195,CLT029,PRJ011,REV00195,3077968,1986804,537129.76,21.28,635239,305587,554034.24,96537,68,Medium,05-08-2025
PRF00196,CLT006,PRJ013,REV00196,2453533,1467692,544205.06,27.05,514664,192212,441635.94,58313,89,Medium,15-08-2025
PRF00197,CLT024,PRJ019,REV00197,3827295,2399115,739266.9,23.56,208976,187600,688913.1,81015,49,Medium,20-12-2025
PRF00198,CLT006,PRJ013,REV00198,1973977,1049004,569657.14,35.19,578720,380850,355315.86,98161,80,High,03-02-2026
PRF00199,CLT037,PRJ014,REV00199,4527705,2460488,1252230.1,33.73,414164,54788,814986.9,56418,91,Medium,22-04-2026
PRF00200,CLT019,PRJ020,REV00200,110548,80146,10503.36,11.59,532961,148566,19898.64,8973,51,Low,11-12-2025
PRF00201,CLT009,PRJ010,REV00201,3869694,2843349,329800.08,10.39,258003,57720,696544.92,64694,53,Low,12-08-2025
PRF00202,CLT022,PRJ014,REV00202,4230846,2471214,998079.72,28.77,908688,282239,761552.28,32396,87,Medium,21-02-2026
PRF00203,CLT003,PRJ007,REV00203,838196,608504,78816.72,11.47,763653,277625,150875.28,42534,40,Low,10-05-2026
PRF00204,CLT011,PRJ009,REV00204,1053693,628994,235034.26,27.2,775885,130697,189664.74,91924,74,Medium,31-05-2026
PRF00205,CLT007,PRJ005,REV00205,2001816,1132851,508638.12,30.99,613898,149497,360326.88,74278,51,Medium,07-01-2026
PRF00206,CLT035,PRJ012,REV00206,3979179,2169068,1093858.78,33.52,856027,83209,716252.22,86283,74,Medium,05-05-2026
PRF00207,CLT025,PRJ007,REV00207,4223744,3295357,168113.08,4.85,772925,488461,760273.92,50934,82,Low,23-08-2025
PRF00208,CLT032,PRJ017,REV00208,2196968,930257,871256.76,48.36,869969,86903,395454.24,39833,44,High,01-01-2026
PRF00209,CLT014,PRJ017,REV00209,899137,480773,256519.34,34.79,676680,260531,161844.66,66151,61,Medium,16-11-2025
PRF00210,CLT011,PRJ018,REV00210,3766255,2245379,842950.1,27.29,569237,258189,677925.9,25,86,Medium,26-08-2025
PRF00211,CLT003,PRJ010,REV00211,186754,142545,10593.28,6.92,377860,242457,33615.72,76304,55,Low,15-08-2025
PRF00212,CLT015,PRJ009,REV00212,2569119,1124016,982661.58,46.65,536754,113197,462441.42,29716,87,High,29-08-2025
PRF00213,CLT039,PRJ001,REV00213,3258533,1416927,1255070.06,46.97,452497,93277,586535.94,62371,76,High,18-11-2025
