survey_id,client_id,net_promoter_score,customer_category,feedback_comment,service_quality_score,renewal_intent,recommendation_likelihood,survey_date
SRV053,CLT031,4,Detractor,Could new image listen it.,6,Medium,8,04-06-2025
SRV054,CLT038,1,Detractor,Sister officer direction she west right than subject.,8,High,5,01-01-2026
SRV055,CLT005,7,Passive,During piece speech station paper.,4,Low,4,03-02-2026
SRV056,CLT021,7,Passive,Push across alone head.,6,Low,9,20-07-2025
SRV057,CLT001,5,Detractor,Wife blue thought same.,4,Medium,2,13-12-2025
SRV058,CLT026,6,Detractor,Night paper action instead resource firm chair.,2,Low,3,14-11-2025
SRV059,CLT031,6,Detractor,Answer into bad against certainly personal.,6,High,10,04-02-2026
SRV060,CLT018,3,Detractor,Record suggest rich international art.,4,Medium,4,25-04-2026
SRV061,CLT016,4,Detractor,President enjoy side.,5,High,4,22-09-2025
SRV062,CLT013,4,Detractor,Improve but brother including type plan travel.,10,Medium,3,02-08-2025
SRV063,CLT007,2,Detractor,Number mind car.,2,Low,8,18-09-2025
SRV064,CLT040,1,Detractor,Common western nation among especially south really together.,9,High,8,19-03-2026
SRV065,CLT024,10,Promoter,Star if nation put the light.,6,Medium,10,28-09-2025
SRV066,CLT018,8,Passive,Down me single both region skin.,3,Low,5,28-10-2025
SRV067,CLT026,4,Detractor,Fall score own red.,10,High,1,15-07-2025
SRV068,CLT034,7,Passive,Environmental technology friend after.,8,Low,1,14-03-2026
SRV069,CLT033,6,Detractor,Report onto matter here much.,7,Low,3,12-12-2025
SRV070,CLT030,2,Detractor,Impact he could claim respond read.,9,Medium,6,09-06-2025
SRV071,CLT001,1,Detractor,Finish eye live dog total catch employee.,4,Medium,10,05-07-2025
SRV072,CLT007,6,Detractor,Young able behind truth event from just.,6,Low,5,14-02-2026
SRV073,CLT012,9,Promoter,Occur over effort behind very wrong.,5,High,5,19-01-2026
SRV074,CLT031,10,Promoter,Left long social rise.,6,Medium,3,25-01-2026
SRV075,CLT032,7,Passive,Build subject east material rock enter.,4,Medium,6,22-08-2025
SRV076,CLT024,7,Passive,Book that another.,5,Medium,3,29-04-2026
SRV077,CLT037,3,Detractor,Friend positive everyone.,10,Low,4,05-10-2025
SRV078,CLT007,5,Detractor,Trial number her.,4,Low,7,22-05-2026
SRV079,CLT025,4,Detractor,Garden oil idea purpose want film three.,3,Low,3,24-11-2025
SRV080,CLT031,1,Detractor,Near better government material effect.,3,Medium,8,18-12-2025
