invoice_id,client_id,project_id,contract_id,invoice_date,due_date,invoice_amount,tax_amount,discount_amount,total_payable,invoice_status,currency,invoice_type
INV00021,CLT029,PRJ020,CON053,16-03-2026,10-05-2026,4284386,771189.48,31358,5055575.48,Overdue,USD,One-time
INV00022,CLT010,PRJ008,CON025,19-02-2026,05-04-2026,1331823,239728.14,772,1571551.14,Paid,INR,One-time
INV00023,CLT039,PRJ008,CON032,02-08-2025,18-08-2025,1890642,340315.56,51645,2230957.56,Overdue,SGD,Subscription
INV00024,CLT014,PRJ015,CON021,07-11-2025,02-01-2026,2881159,518608.62,8993,3399767.62,Paid,USD,Subscription
INV00025,CLT031,PRJ004,CON037,13-04-2026,10-06-2026,1878419,338115.42,49192,2216534.42,Paid,INR,Support
INV00026,CLT020,PRJ020,CON052,29-04-2026,14-06-2026,1065483,191786.94,13833,1257269.94,Pending,INR,Support
INV00027,CLT040,PRJ018,CON050,05-04-2026,29-05-2026,4105871,739056.78,87580,4844927.78,Partial,INR,Support
INV00028,CLT018,PRJ020,CON045,17-11-2025,30-12-2025,2367508,426151.44,2260,2793659.44,Overdue,USD,Subscription
INV00029,CLT034,PRJ012,CON028,29-07-2025,26-09-2025,4666993,840058.74,24267,5507051.74,Paid,SGD,Milestone
INV00030,CLT019,PRJ004,CON054,05-09-2025,30-10-2025,1678376,302107.68,98669,1980483.68,Partial,USD,Support
INV00031,CLT017,PRJ016,CON008,13-10-2025,23-11-2025,598140,107665.2,79471,705805.2,Partial,SGD,Milestone
INV00032,CLT040,PRJ002,CON040,10-03-2026,08-05-2026,882431,158837.58,77832,1041268.58,Partial,SGD,Support
INV00033,CLT017,PRJ019,CON043,03-03-2026,05-04-2026,1709427,307696.86,57560,2017123.86,Partial,INR,Subscription
INV00034,CLT039,PRJ002,CON057,12-10-2025,29-11-2025,3674119,661341.42,85394,4335460.42,Paid,SGD,Support
INV00035,CLT031,PRJ012,CON027,10-05-2026,14-06-2026,2845993,512278.74,33082,3358271.74,Pending,SGD,One-time
INV00036,CLT024,PRJ020,CON049,27-07-2025,26-08-2025,4231663,761699.34,93032,4993362.34,Pending,USD,Milestone
INV00037,CLT008,PRJ005,CON032,23-06-2025,09-08-2025,2498312,449696.16,97818,2948008.16,Partial,USD,Milestone
INV00038,CLT020,PRJ019,CON038,04-05-2026,02-06-2026,4157400,748332,53841,4905732,Overdue,USD,Subscription
INV00039,CLT032,PRJ002,CON009,29-10-2025,29-11-2025,4263523,767434.14,44375,5030957.14,Overdue,INR,Support
INV00040,CLT035,PRJ002,CON040,28-08-2025,26-10-2025,623954,112311.72,39251,736265.72,Paid,USD,Subscription
INV00041,CLT016,PRJ017,CON027,24-07-2025,17-09-2025,4797348,863522.64,33289,5660870.64,Overdue,SGD,Support
INV00042,CLT023,PRJ019,CON020,09-01-2026,09-03-2026,3609361,649684.98,38696,4259045.98,Overdue,INR,Subscription
INV00043,CLT039,PRJ016,CON054,07-01-2026,03-03-2026,2450770,441138.6,84717,2891908.6,Partial,SGD,Subscription
INV00044,CLT019,PRJ011,CON048,29-07-2025,20-08-2025,3535492,636388.56,61385,4171880.56,Pending,INR,Subscription
INV00045,CLT017,PRJ018,CON008,22-07-2025,26-08-2025,3865021,695703.78,79964,4560724.78,Pending,INR,Milestone
INV00046,CLT032,PRJ004,CON007,24-12-2025,03-02-2026,2019645,363536.1,36666,2383181.1,Overdue,SGD,Subscription
INV00047,CLT024,PRJ018,CON058,17-02-2026,19-03-2026,3058774,550579.32,16505,3609353.32,Overdue,INR,Milestone
INV00048,CLT010,PRJ020,CON001,27-10-2025,12-11-2025,2375949,427670.82,22838,2803619.82,Paid,INR,One-time
INV00049,CLT029,PRJ012,CON033,29-04-2026,26-06-2026,964811,173665.98,14150,1138476.98,Pending,USD,Support
INV00050,CLT018,PRJ020,CON041,26-01-2026,23-03-2026,4960394,892870.92,85316,5853264.92,Overdue,SGD,Milestone
INV00051,CLT021,PRJ014,CON021,18-11-2025,06-12-2025,2188170,393870.6,76869,2582040.6,Paid,INR,One-time
INV00052,CLT019,PRJ020,CON020,25-10-2025,23-11-2025,2999822,539967.96,56244,3539789.96,Paid,USD,Subscription
INV00053,CLT022,PRJ012,CON001,17-10-2025,22-11-2025,1571740,282913.2,20631,1854653.2,Paid,INR,One-time
INV00054,CLT040,PRJ002,CON044,18-07-2025,20-08-2025,734355,132183.9,88895,866538.9,Pending,INR,Support
INV00055,CLT020,PRJ007,CON050,09-10-2025,05-12-2025,1201208,216217.44,46421,1417425.44,Overdue,INR,Subscription
INV00056,CLT037,PRJ013,CON046,05-03-2026,16-04-2026,3553870,639696.6,77184,4193566.6,Overdue,SGD,Support
INV00057,CLT033,PRJ004,CON034,29-09-2025,21-11-2025,4327787,779001.66,20036,5106788.66,Partial,INR,Subscription
INV00058,CLT040,PRJ011,CON056,14-08-2025,26-09-2025,2701965,486353.7,4929,3188318.7,Pending,SGD,Subscription
INV00059,CLT038,PRJ018,CON051,02-07-2025,18-08-2025,394123,70942.14,84689,465065.14,Partial,INR,Milestone
INV00060,CLT019,PRJ013,CON027,16-04-2026,12-06-2026,2888429,519917.22,18537,3408346.22,Pending,USD,One-time
INV00061,CLT022,PRJ005,CON043,12-09-2025,05-10-2025,4465707,803827.26,20308,5269534.26,Pending,INR,Subscription
INV00062,CLT011,PRJ006,CON054,01-07-2025,28-07-2025,1438643,258955.74,48213,1697598.74,Pending,SGD,Support
INV00063,CLT039,PRJ005,CON056,21-03-2026,14-04-2026,2147178,386492.04,57340,2533670.04,Paid,USD,Subscription
INV00064,CLT024,PRJ008,CON025,29-11-2025,28-01-2026,734556,132220.08,61487,866776.08,Pending,INR,Support
INV00065,CLT039,PRJ017,CON028,24-03-2026,14-05-2026,982702,176886.36,31711,1159588.36,Overdue,INR,Milestone
INV00066,CLT006,PRJ017,CON024,16-07-2025,01-08-2025,617735,111192.3,46805,728927.3,Overdue,USD,Subscription
INV00067,CLT012,PRJ015,CON045,04-06-2025,09-07-2025,4064210,731557.8,40642,4795767.8,Overdue,INR,Support
INV00068,CLT023,PRJ002,CON056,21-01-2026,28-02-2026,2834386,510189.48,68062,3344575.48,Overdue,USD,One-time
INV00069,CLT021,PRJ004,CON006,29-05-2026,30-06-2026,2800791,504142.38,83816,3304933.38,Overdue,USD,Subscription
INV00070,CLT039,PRJ015,CON003,22-12-2025,03-02-2026,1108894,199600.92,10077,1308494.92,Paid,SGD,Milestone
INV00071,CLT002,PRJ006,CON032,07-05-2026,30-05-2026,4393162,790769.16,9706,5183931.16,Partial,SGD,Support
INV00072,CLT035,PRJ010,CON058,11-10-2025,26-11-2025,2566218,461919.24,3445,3028137.24,Pending,SGD,One-time
INV00073,CLT026,PRJ016,CON034,29-05-2026,24-06-2026,3495999,629279.82,16912,4125278.82,Overdue,USD,Support
INV00074,CLT015,PRJ012,CON034,15-01-2026,08-03-2026,2432769,437898.42,76106,2870667.42,Partial,SGD,Milestone
INV00075,CLT014,PRJ019,CON027,04-04-2026,29-04-2026,304056,54730.08,57619,358786.08,Overdue,INR,Support
INV00076,CLT023,PRJ013,CON009,12-08-2025,05-10-2025,3158316,568496.88,54805,3726812.88,Overdue,INR,Milestone
INV00077,CLT033,PRJ015,CON032,27-12-2025,18-02-2026,2638225,474880.5,85755,3113105.5,Partial,SGD,Support
INV00078,CLT026,PRJ012,CON003,06-12-2025,28-12-2025,3410322,613857.96,16864,4024179.96,Overdue,SGD,Subscription
INV00079,CLT003,PRJ002,CON003,25-01-2026,28-02-2026,1199544,215917.92,77820,1415461.92,Partial,USD,One-time
INV00080,CLT022,PRJ004,CON027,11-11-2025,02-01-2026,4946448,890360.64,62973,5836808.64,Overdue,USD,Milestone
INV00081,CLT002,PRJ015,CON021,18-03-2026,07-05-2026,3562983,641336.94,42604,4204319.94,Overdue,SGD,Support
INV00082,CLT017,PRJ020,CON031,01-12-2025,07-01-2026,1662828,299309.04,73464,1962137.04,Pending,SGD,One-time
INV00083,CLT003,PRJ010,CON046,06-11-2025,06-12-2025,712946,128330.28,31779,841276.28,Pending,SGD,Subscription
INV00084,CLT031,PRJ004,CON044,07-07-2025,27-07-2025,1203157,216568.26,85498,1419725.26,Overdue,USD,Milestone
INV00085,CLT032,PRJ006,CON060,20-09-2025,03-11-2025,2478224,446080.32,35761,2924304.32,Pending,USD,Milestone
INV00086,CLT022,PRJ010,CON037,10-03-2026,24-04-2026,1670354,300663.72,42415,1971017.72,Pending,INR,Milestone
INV00087,CLT037,PRJ001,CON017,05-12-2025,03-01-2026,3066141,551905.38,28721,3618046.38,Pending,SGD,Milestone
INV00088,CLT014,PRJ008,CON044,03-04-2026,27-04-2026,736777,132619.86,21566,869396.86,Paid,INR,One-time
INV00089,CLT006,PRJ017,CON029,12-11-2025,27-11-2025,516706,93007.08,97754,609713.08,Overdue,SGD,Milestone
INV00090,CLT005,PRJ016,CON003,05-10-2025,02-12-2025,2458291,442492.38,86742,2900783.38,Overdue,USD,Milestone
INV00091,CLT015,PRJ001,CON049,27-04-2026,19-05-2026,240717,43329.06,4222,284046.06,Partial,INR,Support
INV00092,CLT039,PRJ002,CON016,12-12-2025,16-01-2026,421084,75795.12,75690,496879.12,Paid,INR,One-time
INV00093,CLT018,PRJ002,CON036,18-09-2025,22-10-2025,1519123,273442.14,49343,1792565.14,Overdue,SGD,Milestone
INV00094,CLT030,PRJ002,CON036,15-06-2025,12-07-2025,3511789,632122.02,6755,4143911.02,Pending,SGD,One-time
INV00095,CLT031,PRJ007,CON056,03-04-2026,23-05-2026,2843107,511759.26,42154,3354866.26,Overdue,INR,One-time
INV00096,CLT007,PRJ016,CON049,09-10-2025,05-11-2025,2736311,492535.98,43236,3228846.98,Partial,INR,Milestone
INV00097,CLT032,PRJ016,CON030,01-06-2025,24-06-2025,1461246,263024.28,82667,1724270.28,Paid,SGD,Milestone
INV00098,CLT040,PRJ020,CON059,17-02-2026,17-04-2026,4103410,738613.8,88346,4842023.8,Paid,SGD,Support
INV00099,CLT034,PRJ009,CON053,05-07-2025,25-07-2025,3023267,544188.06,53120,3567455.06,Partial,SGD,Support
INV00100,CLT028,PRJ011,CON037,15-12-2025,10-02-2026,849953,152991.54,4312,1002944.54,Overdue,USD,Milestone
INV00101,CLT026,PRJ003,CON020,24-02-2026,07-04-2026,1412731,254291.58,30427,1667022.58,Partial,SGD,Subscription
INV00102,CLT015,PRJ012,CON036,10-03-2026,09-05-2026,3199309,575875.62,83086,3775184.62,Pending,INR,Milestone
INV00103,CLT018,PRJ004,CON009,06-10-2025,10-11-2025,782302,140814.36,50493,923116.36,Paid,INR,Subscription
INV00104,CLT034,PRJ006,CON044,21-08-2025,28-09-2025,3243811,583885.98,32990,3827696.98,Partial,USD,Milestone
INV00105,CLT026,PRJ011,CON054,27-05-2026,22-06-2026,3236747,582614.46,52198,3819361.46,Partial,USD,One-time
INV00106,CLT008,PRJ019,CON013,28-12-2025,20-01-2026,4627068,832872.24,83012,5459940.24,Partial,USD,One-time
INV00107,CLT026,PRJ018,CON033,20-06-2025,07-07-2025,3558960,640612.8,73822,4199572.8,Paid,INR,Support
INV00108,CLT034,PRJ018,CON038,02-10-2025,22-10-2025,4875424,877576.32,15213,5753000.32,Partial,USD,Milestone
INV00109,CLT029,PRJ015,CON021,30-07-2025,18-09-2025,613499,110429.82,20989,723928.82,Paid,SGD,One-time
INV00110,CLT012,PRJ014,CON026,24-03-2026,14-05-2026,294882,53078.76,13336,347960.76,Paid,SGD,Milestone
INV00111,CLT032,PRJ017,CON041,17-07-2025,21-08-2025,2679024,482224.32,15448,3161248.32,Partial,SGD,Milestone
INV00112,CLT037,PRJ013,CON028,24-10-2025,17-12-2025,1608214,289478.52,7026,1897692.52,Partial,USD,One-time
INV00113,CLT027,PRJ016,CON027,04-04-2026,25-05-2026,3773298,679193.64,97323,4452491.64,Pending,INR,Support
INV00114,CLT003,PRJ015,CON035,21-09-2025,21-10-2025,1883262,338987.16,27509,2222249.16,Paid,USD,One-time
INV00115,CLT023,PRJ018,CON018,17-01-2026,17-03-2026,4569518,822513.24,17392,5392031.24,Paid,INR,Milestone
INV00116,CLT018,PRJ014,CON025,30-11-2025,15-12-2025,3841581,691484.58,96039,4533065.58,Pending,SGD,Subscription
INV00117,CLT014,PRJ016,CON018,26-06-2025,12-07-2025,2758389,496510.02,16284,3254899.02,Pending,SGD,Milestone
INV00118,CLT018,PRJ003,CON042,03-06-2025,02-08-2025,3073551,553239.18,12475,3626790.18,Overdue,SGD,Subscription
INV00119,CLT001,PRJ011,CON053,01-06-2025,24-06-2025,1061613,191090.34,84092,1252703.34,Paid,INR,Milestone
INV00120,CLT010,PRJ014,CON040,02-09-2025,28-10-2025,3760984,676977.12,11042,4437961.12,Overdue,USD,Milestone
INV00121,CLT026,PRJ010,CON042,02-02-2026,25-03-2026,507759,91396.62,55163,599155.62,Paid,SGD,One-time
INV00122,CLT017,PRJ007,CON003,18-01-2026,21-02-2026,557249,100304.82,10357,657553.82,Overdue,USD,Milestone
INV00123,CLT005,PRJ010,CON045,21-02-2026,21-04-2026,3719898,669581.64,1487,4389479.64,Paid,USD,Milestone
INV00124,CLT011,PRJ012,CON009,30-12-2025,15-02-2026,2304559,414820.62,47202,2719379.62,Pending,SGD,Subscription
INV00125,CLT008,PRJ008,CON048,05-06-2025,04-07-2025,4318332,777299.76,42179,5095631.76,Pending,USD,Milestone
INV00126,CLT004,PRJ006,CON015,02-05-2026,29-05-2026,4376626,787792.68,38219,5164418.68,Pending,USD,One-time
INV00127,CLT035,PRJ008,CON010,17-07-2025,07-08-2025,103501,18630.18,26895,122131.18,Paid,USD,Milestone
INV00128,CLT015,PRJ017,CON027,16-01-2026,15-02-2026,3174689,571444.02,38230,3746133.02,Overdue,INR,One-time
INV00129,CLT013,PRJ005,CON050,28-07-2025,28-08-2025,4954886,891879.48,15717,5846765.48,Paid,SGD,Subscription
INV00130,CLT006,PRJ008,CON023,27-05-2026,17-06-2026,3373939,607309.02,18322,3981248.02,Paid,USD,Subscription
INV00131,CLT006,PRJ019,CON038,19-10-2025,06-11-2025,2221144,399805.92,22018,2620949.92,Overdue,INR,Support
INV00132,CLT014,PRJ006,CON018,27-09-2025,29-10-2025,2397590,431566.2,50202,2829156.2,Pending,USD,Milestone
INV00133,CLT031,PRJ018,CON051,17-07-2025,03-09-2025,4115786,740841.48,46849,4856627.48,Pending,SGD,Milestone
INV00134,CLT015,PRJ019,CON055,18-09-2025,12-10-2025,3308324,595498.32,73807,3903822.32,Pending,SGD,Milestone
INV00135,CLT039,PRJ008,CON002,24-10-2025,15-12-2025,4466170,803910.6,92365,5270080.6,Pending,SGD,Milestone
INV00136,CLT007,PRJ011,CON020,04-06-2025,30-06-2025,2756191,496114.38,49595,3252305.38,Pending,INR,One-time
INV00137,CLT037,PRJ002,CON012,04-09-2025,17-10-2025,2719396,489491.28,1493,3208887.28,Pending,USD,One-time
INV00138,CLT029,PRJ014,CON011,30-07-2025,03-09-2025,3523044,634147.92,34226,4157191.92,Partial,INR,Subscription
INV00139,CLT039,PRJ020,CON058,03-10-2025,13-11-2025,4099489,737908.02,91382,4837397.02,Overdue,INR,One-time
INV00140,CLT032,PRJ005,CON004,27-11-2025,17-12-2025,3076852,553833.36,62071,3630685.36,Overdue,INR,Subscription
INV00141,CLT025,PRJ006,CON024,02-09-2025,22-09-2025,3249794,584962.92,87574,3834756.92,Partial,USD,One-time
INV00142,CLT035,PRJ016,CON037,10-06-2025,03-07-2025,2026708,364807.44,5593,2391515.44,Partial,INR,Support
INV00143,CLT005,PRJ003,CON025,01-10-2025,25-10-2025,4717121,849081.78,19424,5566202.78,Paid,SGD,Subscription
INV00144,CLT032,PRJ019,CON039,01-10-2025,02-11-2025,4018202,723276.36,48816,4741478.36,Overdue,INR,Subscription
INV00145,CLT015,PRJ005,CON020,13-06-2025,01-07-2025,3767081,678074.58,67537,4445155.58,Overdue,INR,Milestone
INV00146,CLT013,PRJ002,CON016,12-11-2025,12-12-2025,327420,58935.6,48819,386355.6,Overdue,SGD,Support
INV00147,CLT017,PRJ003,CON019,10-01-2026,26-02-2026,280271,50448.78,2628,330719.78,Partial,SGD,Subscription
INV00148,CLT020,PRJ009,CON028,15-02-2026,09-04-2026,3208104,577458.72,37051,3785562.72,Overdue,SGD,One-time
INV00149,CLT020,PRJ007,CON010,28-01-2026,25-03-2026,4389373,790087.14,65191,5179460.14,Overdue,SGD,One-time
INV00150,CLT013,PRJ011,CON047,17-03-2026,01-05-2026,1915317,344757.06,16769,2260074.06,Pending,SGD,One-time
INV00151,CLT020,PRJ014,CON051,24-09-2025,10-11-2025,2829289,509272.02,15704,3338561.02,Paid,SGD,Support
INV00152,CLT022,PRJ014,CON037,24-08-2025,25-09-2025,3888387,699909.66,27444,4588296.66,Pending,SGD,Milestone
INV00153,CLT026,PRJ014,CON031,22-12-2025,20-01-2026,3265491,587788.38,90901,3853279.38,Pending,SGD,One-time
INV00154,CLT003,PRJ010,CON019,16-04-2026,02-05-2026,3874587,697425.66,29939,4572012.66,Partial,USD,Milestone
INV00155,CLT003,PRJ013,CON057,20-07-2025,28-08-2025,2195715,395228.7,16199,2590943.7,Paid,SGD,One-time
INV00156,CLT027,PRJ004,CON043,09-05-2026,24-06-2026,4414670,794640.6,26037,5209310.6,Paid,SGD,Milestone
INV00157,CLT036,PRJ016,CON059,24-05-2026,14-06-2026,1792263,322607.34,33540,2114870.34,Paid,SGD,Milestone
INV00158,CLT003,PRJ010,CON024,24-10-2025,25-11-2025,2673177,481171.86,96084,3154348.86,Partial,SGD,Subscription
INV00159,CLT025,PRJ016,CON052,02-03-2026,28-03-2026,3587810,645805.8,80127,4233615.8,Partial,INR,Support
INV00160,CLT005,PRJ009,CON042,10-10-2025,03-11-2025,2686018,483483.24,73183,3169501.24,Paid,USD,Subscription
INV00161,CLT032,PRJ011,CON016,22-06-2025,04-08-2025,2825747,508634.46,41426,3334381.46,Partial,INR,Subscription
INV00162,CLT006,PRJ020,CON040,13-07-2025,05-09-2025,2605152,468927.36,78636,3074079.36,Pending,USD,Support
INV00163,CLT022,PRJ012,CON054,01-12-2025,28-12-2025,2499335,449880.3,15826,2949215.3,Overdue,INR,Support
INV00164,CLT008,PRJ015,CON030,30-11-2025,26-12-2025,4993542,898837.56,95747,5892379.56,Overdue,SGD,Milestone
INV00165,CLT026,PRJ011,CON019,26-04-2026,19-06-2026,3848745,692774.1,93635,4541519.1,Pending,SGD,One-time
INV00166,CLT008,PRJ012,CON036,01-08-2025,25-08-2025,4079634,734334.12,6955,4813968.12,Pending,USD,Subscription
INV00167,CLT019,PRJ007,CON049,08-08-2025,06-10-2025,4589680,826142.4,87096,5415822.4,Partial,SGD,Subscription
INV00168,CLT013,PRJ020,CON056,14-07-2025,09-08-2025,3766688,678003.84,22779,4444691.84,Partial,SGD,Subscription
INV00169,CLT017,PRJ001,CON022,04-01-2026,21-02-2026,3961870,713136.6,28830,4675006.6,Pending,USD,Milestone
INV00170,CLT015,PRJ007,CON043,17-11-2025,12-01-2026,2834040,510127.2,80439,3344167.2,Overdue,SGD,Milestone
INV00171,CLT002,PRJ017,CON053,14-08-2025,02-10-2025,3195376,575167.68,960,3770543.68,Partial,USD,Subscription
INV00172,CLT028,PRJ003,CON048,29-03-2026,07-05-2026,1339786,241161.48,59129,1580947.48,Partial,USD,Support
INV00173,CLT005,PRJ019,CON003,16-09-2025,04-11-2025,658924,118606.32,28818,777530.32,Pending,USD,Milestone
INV00174,CLT024,PRJ001,CON036,15-04-2026,10-06-2026,4706262,847127.16,67181,5553389.16,Paid,USD,Milestone
INV00175,CLT012,PRJ019,CON055,10-01-2026,02-02-2026,506242,91123.56,87988,597365.56,Paid,USD,Milestone
INV00176,CLT040,PRJ010,CON045,04-09-2025,06-10-2025,4950372,891066.96,47118,5841438.96,Partial,INR,Milestone
INV00177,CLT036,PRJ004,CON012,17-12-2025,26-01-2026,737645,132776.1,77337,870421.1,Paid,SGD,Milestone
INV00178,CLT026,PRJ008,CON058,04-02-2026,23-03-2026,4995929,899267.22,18398,5895196.22,Overdue,USD,Support
INV00179,CLT005,PRJ009,CON024,02-04-2026,27-05-2026,2013090,362356.2,35847,2375446.2,Overdue,USD,One-time
INV00180,CLT017,PRJ013,CON059,21-08-2025,19-09-2025,1919814,345566.52,10104,2265380.52,Overdue,SGD,One-time
INV00181,CLT015,PRJ014,CON052,08-07-2025,02-08-2025,2820126,507622.68,17658,3327748.68,Overdue,INR,Subscription
INV00182,CLT037,PRJ001,CON057,12-02-2026,07-04-2026,2427789,437002.02,86461,2864791.02,Partial,INR,One-time
INV00183,CLT009,PRJ004,CON002,25-05-2026,16-06-2026,1747422,314535.96,12214,2061957.96,Partial,USD,Support
INV00184,CLT034,PRJ014,CON015,26-10-2025,28-11-2025,4094344,736981.92,78419,4831325.92,Paid,USD,Support
INV00185,CLT034,PRJ004,CON034,26-02-2026,09-04-2026,110348,19862.64,74012,130210.64,Paid,INR,One-time
INV00186,CLT012,PRJ012,CON036,21-01-2026,11-02-2026,4704933,846887.94,28109,5551820.94,Partial,SGD,Support
INV00187,CLT010,PRJ016,CON060,24-12-2025,11-01-2026,3702210,666397.8,22973,4368607.8,Overdue,USD,Support
INV00188,CLT015,PRJ020,CON011,23-06-2025,22-08-2025,352502,63450.36,8993,415952.36,Overdue,USD,Subscription
INV00189,CLT026,PRJ019,CON001,08-02-2026,19-03-2026,2240328,403259.04,73815,2643587.04,Pending,INR,Support
INV00190,CLT005,PRJ013,CON041,10-10-2025,07-12-2025,1898700,341766,98145,2240466,Paid,SGD,One-time
INV00191,CLT012,PRJ007,CON032,24-07-2025,20-09-2025,1724924,310486.32,86956,2035410.32,Partial,SGD,Support
INV00192,CLT037,PRJ009,CON032,13-03-2026,26-04-2026,1584040,285127.2,15776,1869167.2,Overdue,USD,Support
INV00193,CLT040,PRJ009,CON012,24-07-2025,31-08-2025,4651683,837302.94,52506,5488985.94,Partial,USD,One-time
INV00194,CLT028,PRJ013,CON013,03-01-2026,03-02-2026,1273425,229216.5,73680,1502641.5,Overdue,USD,Subscription
INV00195,CLT029,PRJ011,CON017,05-08-2025,30-09-2025,3077968,554034.24,85082,3632002.24,Overdue,INR,Milestone
INV00196,CLT006,PRJ013,CON040,07-08-2025,01-09-2025,2453533,441635.94,45039,2895168.94,Pending,USD,Milestone
INV00197,CLT024,PRJ019,CON034,12-12-2025,02-01-2026,3827295,688913.1,8361,4516208.1,Pending,SGD,Support
INV00198,CLT006,PRJ013,CON020,01-02-2026,17-03-2026,1973977,355315.86,70855,2329292.86,Partial,INR,One-time
INV00199,CLT037,PRJ014,CON034,13-04-2026,28-04-2026,4527705,814986.9,68592,5342691.9,Pending,USD,Milestone
INV00200,CLT019,PRJ020,CON015,03-12-2025,14-01-2026,110548,19898.64,81962,130446.64,Partial,INR,Milestone
INV00201,CLT009,PRJ010,CON008,04-08-2025,06-09-2025,3869694,696544.92,35283,4566238.92,Paid,INR,Milestone
INV00202,CLT022,PRJ014,CON020,19-02-2026,17-03-2026,4230846,761552.28,25191,4992398.28,Partial,INR,One-time
INV00203,CLT003,PRJ007,CON030,08-05-2026,02-07-2026,838196,150875.28,39166,989071.28,Pending,INR,Milestone
INV00204,CLT011,PRJ009,CON038,25-05-2026,19-06-2026,1053693,189664.74,65525,1243357.74,Overdue,SGD,Subscription
INV00205,CLT007,PRJ005,CON032,31-12-2025,31-01-2026,2001816,360326.88,5175,2362142.88,Overdue,SGD,Support
INV00206,CLT035,PRJ012,CON021,26-04-2026,20-06-2026,3979179,716252.22,66316,4695431.22,Overdue,USD,Support
INV00207,CLT025,PRJ007,CON034,16-08-2025,11-09-2025,4223744,760273.92,4099,4984017.92,Pending,INR,Milestone
INV00208,CLT032,PRJ017,CON040,23-12-2025,30-01-2026,2196968,395454.24,73140,2592422.24,Partial,SGD,Support
INV00209,CLT014,PRJ017,CON007,16-11-2025,23-12-2025,899137,161844.66,88407,1060981.66,Partial,SGD,Support
INV00210,CLT011,PRJ018,CON039,20-08-2025,10-10-2025,3766255,677925.9,71516,4444180.9,Overdue,SGD,Milestone
INV00211,CLT003,PRJ010,CON039,14-08-2025,03-10-2025,186754,33615.72,74798,220369.72,Partial,USD,Milestone
INV00212,CLT015,PRJ009,CON052,24-08-2025,10-09-2025,2569119,462441.42,95786,3031560.42,Pending,USD,Support
INV00213,CLT039,PRJ001,CON041,15-11-2025,28-12-2025,3258533,586535.94,98676,3845068.94,Pending,SGD,Subscription
INV00214,CLT004,PRJ018,CON026,26-03-2026,22-04-2026,2252495,405449.1,73553,2657944.1,Partial,USD,Milestone
INV00215,CLT027,PRJ014,CON024,02-03-2026,31-03-2026,2971818,534927.24,26173,3506745.24,Partial,USD,One-time
INV00216,CLT022,PRJ004,CON020,14-03-2026,22-04-2026,3825390,688570.2,76415,4513960.2,Pending,SGD,Subscription
INV00217,CLT001,PRJ003,CON025,24-11-2025,16-01-2026,2325916,418664.88,69672,2744580.88,Overdue,INR,Subscription
