revenue_id,client_id,client_name,project_id,project_name,invoice_id,contract_id,revenue_period,revenue_date,revenue_amount,currency,revenue_type,revenue_stream,monthly_recurring_revenue_mrr,annual_recurring_revenue_arr,gross_revenue,net_revenue,tax_amount,profit_margin,recognition_date,payment_status,outstanding_amount,collection_days,revenue_growth_percentage,revenue_band,forecast_revenue,upsell_revenue,country,billing_frequency
REV0019,CLT010,Orozco-Graves,PRJ003,Engage Seamless Partnerships,INV0019,CON016,Feb-25,46012,828879,INR,Deferred,Recurring,69073.25,828879,828879,679680.78,149198.22,34.01,10-04-2026,Pending,488032,85,-7,Medium,2803543,80697,UK,Annual
REV0020,CLT035,"Martinez, Haynes and Sandoval",PRJ004,Optimize Viral E-Commerce,INV0020,CON009,Oct-25,46071,1709825,USD,Recognized,One-time,142485.42,1709825,1709825,1402056.5,307768.5,44.36,31-10-2025,Pending,422327,61,26.66,Low,2990923,198059,Australia,Quarterly
REV0021,CLT009,Harrison-George,PRJ002,Extend One-To-One Technologies,INV0021,CON032,Jun-25,45851,575748,SGD,Deferred,One-time,47979,575748,575748,472113.36,103634.64,29,25-07-2025,Overdue,99497,77,-0.67,Medium,1457615,383989,Australia,Quarterly
REV0022,CLT018,Brown-Smith,PRJ020,Envisioneer Dot-Com Solutions,INV0022,CON059,Apr-25,46108,1869618,SGD,Recognized,Recurring,155801.5,1869618,1869618,1533086.76,336531.24,28.59,03-06-2025,Overdue,155017,38,17.08,Medium,103019,406804,India,Annual
REV0023,CLT033,"Riley, Martinez and Arnold",PRJ006,Reinvent User-Centric Partnerships,INV0023,CON057,Apr-25,45999,844911,INR,Accrued,One-time,70409.25,844911,844911,692827.02,152083.98,37.16,31-08-2025,Partial,168136,13,22.91,High,1725254,99546,Singapore,Annual
REV0024,CLT032,Bush Inc,PRJ018,E-Enable User-Centric Portals,INV0024,CON010,Apr-25,46132,1655860,SGD,Deferred,One-time,137988.33,1655860,1655860,1357805.2,298054.8,24.34,04-08-2025,Pending,57915,17,16.16,Low,283615,437881,Singapore,Monthly
REV0025,CLT012,Hernandez-Welch,PRJ002,Visualize 24/365 Infrastructures,INV0025,CON013,Dec-25,45888,1881847,INR,Deferred,Recurring,156820.58,1881847,1881847,1543114.54,338732.46,13.46,06-10-2025,Overdue,344940,67,16.29,High,2575901,134185,USA,Monthly
REV0026,CLT024,Marquez LLC,PRJ020,Iterate Transparent Systems,INV0026,CON046,Jan-25,46029,512889,INR,Recognized,Recurring,42740.75,512889,512889,420568.98,92320.02,32.95,12-03-2026,Paid,245397,86,-6.96,High,1844634,430978,USA,Quarterly
REV0027,CLT004,"Thompson, Harris and Wilson",PRJ020,Deliver 24/7 Applications,INV0027,CON018,Oct-25,46095,1777304,SGD,Recognized,Recurring,148108.67,1777304,1777304,1457389.28,319914.72,39.21,06-10-2025,Paid,495244,32,38.03,Low,524568,380198,UK,Monthly
REV0028,CLT035,"Martinez, Haynes and Sandoval",PRJ007,Re-Intermediate Innovative Action-Items,INV0028,CON013,Sep-25,46011,858097,SGD,Accrued,Recurring,71508.08,858097,858097,703639.54,154457.46,29.95,02-06-2025,Partial,292774,76,10.76,Low,2778584,302285,Australia,Quarterly
REV0029,CLT030,Morrow-Robinson,PRJ014,Grow Interactive Technologies,INV0029,CON057,Jun-25,45877,1523355,INR,Recognized,Recurring,126946.25,1523355,1523355,1249151.1,274203.9,29.25,24-05-2025,Pending,344736,25,16.7,High,1958127,489433,UK,Quarterly
REV0030,CLT021,Rodriguez-Beard,PRJ011,Strategize B2C Metrics,INV0030,CON055,Feb-25,45805,1203604,USD,Deferred,One-time,100300.33,1203604,1203604,986955.28,216648.72,38.92,29-01-2026,Pending,318983,35,18.16,Low,1673128,401451,USA,Annual
REV0031,CLT017,Wang LLC,PRJ015,Benchmark End-To-End E-Tailers,INV0031,CON029,Apr-25,45809,804992,USD,Recognized,Recurring,67082.67,804992,804992,660093.44,144898.56,44.4,11-08-2025,Paid,271376,22,39.67,Medium,127551,157461,Australia,Monthly
REV0032,CLT014,Mason-Bishop,PRJ011,Repurpose Out-Of-The-Box Mindshare,INV0032,CON002,May-25,45873,1844575,SGD,Deferred,Recurring,153714.58,1844575,1844575,1512551.5,332023.5,13.3,08-08-2025,Overdue,186466,24,-3.08,Medium,2541738,130996,UK,Monthly
REV0033,CLT017,Wang LLC,PRJ010,Engineer Web-Enabled Networks,INV0033,CON006,May-25,45970,1750945,SGD,Deferred,Recurring,145912.08,1750945,1750945,1435774.9,315170.1,35.7,10-11-2025,Pending,415710,66,-1.35,High,2516894,429662,Australia,Monthly
REV0034,CLT039,Atkinson-Willis,PRJ010,Maximize Plug-And-Play E-Business,INV0034,CON003,Feb-25,46048,1396905,SGD,Accrued,One-time,116408.75,1396905,1396905,1145462.1,251442.9,12.75,30-10-2025,Paid,483326,47,7.4,Medium,1847018,487716,USA,Monthly
REV0035,CLT015,Harper Group,PRJ020,Architect Strategic Models,INV0035,CON060,May-25,46095,1617995,INR,Accrued,One-time,134832.92,1617995,1617995,1326755.9,291239.1,11.89,08-03-2026,Paid,167413,74,18.25,Medium,2207225,365831,UK,Monthly
REV0036,CLT010,Orozco-Graves,PRJ013,Synthesize Revolutionary Solutions,INV0036,CON029,Mar-25,45979,155947,SGD,Accrued,Recurring,12995.58,155947,155947,127876.54,28070.46,17.77,28-02-2026,Pending,412283,55,-2.6,Medium,446219,249484,UK,Annual
REV0037,CLT004,"Thompson, Harris and Wilson",PRJ013,Scale Open-Source Applications,INV0037,CON017,Apr-25,45962,1199558,INR,Deferred,One-time,99963.17,1199558,1199558,983637.56,215920.44,37.08,05-09-2025,Partial,399524,22,14.05,Low,2146237,207260,UK,Annual
REV0038,CLT037,Frederick Inc,PRJ018,Synergize Frictionless E-Markets,INV0038,CON040,Dec-25,46163,461250,SGD,Accrued,Recurring,38437.5,461250,461250,378225,83025,18.48,20-04-2026,Pending,407252,60,6.17,High,475787,58998,Australia,Annual
REV0039,CLT027,Montoya-Wilson,PRJ012,Drive Revolutionary Initiatives,INV0039,CON023,Aug-25,46047,938229,INR,Deferred,One-time,78185.75,938229,938229,769347.78,168881.22,30.79,08-04-2026,Paid,403534,44,-1.54,Medium,2684618,430746,India,Quarterly
REV0040,CLT040,Martin-Davis,PRJ015,Leverage B2B Supply-Chains,INV0040,CON003,Feb-25,45926,355803,INR,Recognized,One-time,29650.25,355803,355803,291758.46,64044.54,15.46,05-09-2025,Paid,58915,11,2.15,High,719402,455476,India,Quarterly
REV0041,CLT001,Burgess and Sons,PRJ004,Revolutionize 24/7 Supply-Chains,INV0041,CON020,Feb-25,46042,769892,USD,Deferred,Recurring,64157.67,769892,769892,631311.44,138580.56,21.62,25-05-2025,Partial,106850,74,16.16,Medium,2401834,253244,India,Annual
REV0042,CLT010,Orozco-Graves,PRJ001,Disintermediate Next-Generation Relationships,INV0042,CON025,Apr-25,46102,1507669,SGD,Accrued,Recurring,125639.08,1507669,1507669,1236288.58,271380.42,18.94,22-05-2026,Paid,148904,30,29.46,High,1237836,27831,UK,Quarterly
REV0043,CLT001,Burgess and Sons,PRJ013,Seize Value-Added Supply-Chains,INV0043,CON043,Nov-25,46128,189665,USD,Accrued,One-time,15805.42,189665,189665,155525.3,34139.7,40.25,11-11-2025,Paid,153351,88,9.33,Medium,2232972,372081,India,Monthly
REV0044,CLT021,Rodriguez-Beard,PRJ020,Redefine Enterprise Architectures,INV0044,CON035,Dec-25,45875,1066410,INR,Recognized,Recurring,88867.5,1066410,1066410,874456.2,191953.8,27.52,11-12-2025,Overdue,293961,7,-8.01,High,1378958,174886,USA,Quarterly
REV0045,CLT026,Ross Inc,PRJ006,Facilitate Holistic Action-Items,INV0045,CON002,Apr-25,46048,1611100,USD,Accrued,One-time,134258.33,1611100,1611100,1321102,289998,22.44,08-09-2025,Pending,123839,69,3.79,Low,2724763,135098,Singapore,Quarterly
REV0046,CLT002,"Sellers, Robertson and Powers",PRJ009,Envisioneer Strategic Networks,INV0046,CON015,Jul-25,46162,1213792,INR,Deferred,One-time,101149.33,1213792,1213792,995309.44,218482.56,32.99,20-04-2026,Paid,382672,53,16.04,High,2668794,457546,India,Annual
REV0047,CLT015,Harper Group,PRJ008,Harness Dot-Com Markets,INV0047,CON037,Jan-25,46131,925211,INR,Deferred,One-time,77100.92,925211,925211,758673.02,166537.98,41.84,06-02-2026,Pending,235494,74,-3.41,High,681232,304627,UK,Annual
REV0048,CLT013,"Sherman, Reed and Williams",PRJ005,Re-Intermediate Out-Of-The-Box Functionalities,INV0048,CON020,Jan-25,45925,1858977,SGD,Accrued,Recurring,154914.75,1858977,1858977,1524361.14,334615.86,25.05,09-09-2025,Partial,344054,77,35.86,Medium,384432,292206,India,Annual
REV0049,CLT008,"Stewart, Clark and Owen",PRJ011,Incubate Scalable Eyeballs,INV0049,CON054,Feb-25,45883,436159,INR,Accrued,Recurring,36346.58,436159,436159,357650.38,78508.62,36.79,03-12-2025,Overdue,215614,43,12.15,High,1248384,79669,USA,Monthly
REV0050,CLT007,Bailey Inc,PRJ006,Integrate User-Centric Convergence,INV0050,CON002,Jan-25,45917,325871,SGD,Accrued,One-time,27155.92,325871,325871,267214.22,58656.78,31.2,23-06-2025,Partial,312664,34,1.55,Low,1606851,41668,Australia,Annual
REV0051,CLT031,"Dean, Spencer and Walker",PRJ017,Incubate Clicks-And-Mortar Channels,INV0051,CON055,Apr-25,45801,331200,SGD,Deferred,One-time,27600,331200,331200,271584,59616,16.44,12-07-2025,Overdue,257659,65,-3.12,Low,1049058,16897,UK,Quarterly
REV0052,CLT001,Burgess and Sons,PRJ009,Harness Front-End Users,INV0052,CON027,Apr-25,46128,1990778,INR,Accrued,Recurring,165898.17,1990778,1990778,1632437.96,358340.04,36.52,25-06-2025,Paid,92839,61,33.36,Medium,2985105,170338,India,Quarterly
REV0053,CLT016,"Vance, Deleon and Mathis",PRJ013,Iterate Mission-Critical Partnerships,INV0053,CON050,May-25,46071,946649,INR,Accrued,One-time,78887.42,946649,946649,776252.18,170396.82,35.21,22-06-2025,Overdue,320604,78,19.69,High,2790200,459162,India,Annual
REV0054,CLT003,Montes and Sons,PRJ004,Iterate Vertical Networks,INV0054,CON029,Sep-25,45950,1141880,USD,Recognized,Recurring,95156.67,1141880,1141880,936341.6,205538.4,28.15,27-03-2026,Overdue,385440,10,17.89,High,2745131,25845,UK,Monthly
REV0055,CLT019,Trevino-Williams,PRJ013,Syndicate Viral Deliverables,INV0055,CON057,Aug-25,46053,971811,USD,Deferred,One-time,80984.25,971811,971811,796885.02,174925.98,15.83,19-09-2025,Pending,321458,11,24.5,Low,2044391,435103,UK,Annual
REV0056,CLT029,Poole Ltd,PRJ017,Architect Extensible Roi,INV0056,CON008,Sep-25,45998,239668,INR,Accrued,Recurring,19972.33,239668,239668,196527.76,43140.24,23.76,14-01-2026,Pending,236394,8,-1.06,High,946964,462709,Australia,Quarterly
REV0057,CLT006,Robinson PLC,PRJ011,Maximize B2B Info-Mediaries,INV0057,CON045,Sep-25,46133,574460,SGD,Accrued,Recurring,47871.67,574460,574460,471057.2,103402.8,35.14,19-07-2025,Paid,47810,19,25.31,High,1622294,44725,USA,Annual
REV0058,CLT025,Gonzalez and Sons,PRJ017,Evolve Dot-Com Platforms,INV0058,CON040,Dec-25,45876,1574364,INR,Deferred,One-time,131197,1574364,1574364,1290978.48,283385.52,11.54,19-04-2026,Partial,478283,47,18.27,High,729521,84999,UK,Monthly
REV0059,CLT012,Hernandez-Welch,PRJ002,Incentivize Strategic Portals,INV0059,CON027,Dec-25,45955,1663038,USD,Deferred,One-time,138586.5,1663038,1663038,1363691.16,299346.84,20.11,01-09-2025,Partial,61632,21,38.02,Low,2711207,401287,USA,Quarterly
REV0060,CLT001,Burgess and Sons,PRJ016,Cultivate Next-Generation Supply-Chains,INV0060,CON055,Dec-25,46144,1011843,USD,Accrued,Recurring,84320.25,1011843,1011843,829711.26,182131.74,31.28,14-04-2026,Overdue,124716,32,19.44,Medium,2003117,215037,India,Quarterly
REV0061,CLT006,Robinson PLC,PRJ020,Embrace Cross-Platform E-Business,INV0061,CON001,Feb-25,46099,1310842,INR,Accrued,One-time,109236.83,1310842,1310842,1074890.44,235951.56,31.69,04-10-2025,Partial,25647,28,-2.59,High,1563895,19252,USA,Monthly
REV0062,CLT003,Montes and Sons,PRJ019,Reinvent Magnetic Info-Mediaries,INV0062,CON054,Nov-25,45986,1448793,SGD,Deferred,One-time,120732.75,1448793,1448793,1188010.26,260782.74,42.21,06-12-2025,Paid,57088,58,39.69,Low,2918951,149097,UK,Annual
REV0063,CLT039,Atkinson-Willis,PRJ018,Benchmark Ubiquitous Networks,INV0063,CON012,Oct-25,46145,1250163,USD,Accrued,One-time,104180.25,1250163,1250163,1025133.66,225029.34,42.6,30-06-2025,Paid,402921,43,6.14,Medium,383814,397642,USA,Quarterly
REV0064,CLT036,"Morris, Bentley and Wall",PRJ010,Evolve Leading-Edge Technologies,INV0064,CON031,Dec-25,46114,186159,INR,Recognized,One-time,15513.25,186159,186159,152650.38,33508.62,21.52,24-01-2026,Overdue,275065,31,24.79,High,344043,57305,USA,Annual
REV0065,CLT034,"Ward, Hall and Hernandez",PRJ016,Scale Front-End E-Services,INV0065,CON047,Jul-25,45884,233856,SGD,Accrued,One-time,19488,233856,233856,191761.92,42094.08,24.95,14-10-2025,Pending,136136,72,18.76,High,1584168,486070,Australia,Monthly
REV0066,CLT040,Martin-Davis,PRJ016,Reinvent Granular Partnerships,INV0066,CON034,Oct-25,46123,1229929,SGD,Accrued,One-time,102494.08,1229929,1229929,1008541.78,221387.22,27.24,01-06-2025,Partial,463294,83,1.64,Medium,911830,828,India,Monthly
REV0067,CLT002,"Sellers, Robertson and Powers",PRJ004,Transition Visionary Web-Readiness,INV0067,CON048,Jun-25,46002,1024935,INR,Accrued,One-time,85411.25,1024935,1024935,840446.7,184488.3,24.49,03-10-2025,Pending,183317,76,30.3,Low,147384,335868,India,Monthly
REV0068,CLT019,Trevino-Williams,PRJ003,Empower Out-Of-The-Box Interfaces,INV0068,CON020,Apr-25,45828,583552,USD,Accrued,One-time,48629.33,583552,583552,478512.64,105039.36,36.85,21-12-2025,Paid,359575,47,7.07,High,2486229,322957,UK,Monthly
REV0069,CLT012,Hernandez-Welch,PRJ011,Re-Intermediate Visionary Bandwidth,INV0069,CON054,Nov-25,45858,456880,USD,Accrued,One-time,38073.33,456880,456880,374641.6,82238.4,42.07,07-01-2026,Paid,338507,22,14.07,High,2031971,467695,USA,Annual
REV0070,CLT022,"Santos, Taylor and Webb",PRJ014,Transition Integrated Supply-Chains,INV0070,CON060,Sep-25,45806,1019870,SGD,Recognized,One-time,84989.17,1019870,1019870,836293.4,183576.6,29.77,26-06-2025,Pending,291072,73,-9.06,High,2975167,173916,Australia,Quarterly
REV0071,CLT005,"White, Davis and Jennings",PRJ009,Benchmark B2C Methodologies,INV0071,CON054,Apr-25,46140,363115,INR,Deferred,One-time,30259.58,363115,363115,297754.3,65360.7,31.93,04-01-2026,Partial,299358,82,9.48,High,590081,453296,Singapore,Quarterly
REV0072,CLT021,Rodriguez-Beard,PRJ002,Visualize Cross-Media E-Commerce,INV0072,CON018,Jun-25,46158,1538642,USD,Recognized,One-time,128220.17,1538642,1538642,1261686.44,276955.56,40.7,11-04-2026,Pending,236929,43,0.81,Medium,834056,58841,USA,Quarterly
REV0073,CLT003,Montes and Sons,PRJ007,Redefine Next-Generation Systems,INV0073,CON059,Apr-25,46006,1681144,INR,Deferred,Recurring,140095.33,1681144,1681144,1378538.08,302605.92,37.97,15-05-2026,Partial,99725,48,36.18,High,2296254,162717,UK,Quarterly
REV0074,CLT010,Orozco-Graves,PRJ004,Deploy 24/7 Partnerships,INV0074,CON053,Mar-25,46079,1663719,SGD,Accrued,Recurring,138643.25,1663719,1663719,1364249.58,299469.42,17.18,12-02-2026,Paid,240841,54,25.68,High,585851,2154,UK,Quarterly
REV0075,CLT003,Montes and Sons,PRJ020,Leverage Web-Enabled Synergies,INV0075,CON056,May-25,46004,1490853,INR,Deferred,One-time,124237.75,1490853,1490853,1222499.46,268353.54,41.12,06-08-2025,Paid,272932,89,27.28,Low,2522461,397669,UK,Quarterly
REV0076,CLT014,Mason-Bishop,PRJ007,Extend Collaborative Partnerships,INV0076,CON013,Mar-25,46119,722934,USD,Deferred,One-time,60244.5,722934,722934,592805.88,130128.12,37.05,19-02-2026,Paid,142949,24,-2.13,Low,163991,326602,UK,Annual
REV0077,CLT033,"Riley, Martinez and Arnold",PRJ007,E-Enable Bricks-And-Clicks Solutions,INV0077,CON035,Nov-25,45948,264696,USD,Accrued,One-time,22058,264696,264696,217050.72,47645.28,19.49,15-12-2025,Pending,300984,36,-1.44,Medium,2672210,467792,Singapore,Quarterly
REV0078,CLT035,"Martinez, Haynes and Sandoval",PRJ002,Revolutionize B2B Convergence,INV0078,CON009,Jul-25,45891,980396,INR,Deferred,Recurring,81699.67,980396,980396,803924.72,176471.28,13.71,26-03-2026,Paid,45151,59,9.6,High,2600314,467285,Australia,Annual
REV0079,CLT029,Poole Ltd,PRJ012,Utilize Out-Of-The-Box Portals,INV0079,CON020,Oct-25,46024,1342506,USD,Recognized,Recurring,111875.5,1342506,1342506,1100854.92,241651.08,44.08,23-02-2026,Overdue,297685,21,-5.35,High,2064091,50993,Australia,Quarterly
REV0080,CLT020,"Gilmore, West and Wagner",PRJ015,Transform Holistic Metrics,INV0080,CON031,Sep-25,45978,1485454,INR,Recognized,Recurring,123787.83,1485454,1485454,1218072.28,267381.72,40.14,22-05-2026,Pending,478602,51,9.6,High,2889969,173186,Singapore,Quarterly
REV0081,CLT030,Morrow-Robinson,PRJ001,Maximize Open-Source Convergence,INV0081,CON005,Oct-25,46076,1072375,USD,Recognized,One-time,89364.58,1072375,1072375,879347.5,193027.5,26.75,20-03-2026,Partial,147984,49,20.22,Low,2230495,53966,UK,Quarterly
REV0082,CLT007,Bailey Inc,PRJ018,Benchmark Best-Of-Breed Action-Items,INV0082,CON042,May-25,46116,733398,INR,Deferred,One-time,61116.5,733398,733398,601386.36,132011.64,24.03,25-09-2025,Overdue,125082,84,2.18,Low,2123225,201230,Australia,Monthly
REV0083,CLT022,"Santos, Taylor and Webb",PRJ019,Maximize Web-Enabled Systems,INV0083,CON028,Oct-25,45852,486707,USD,Accrued,One-time,40558.92,486707,486707,399099.74,87607.26,29.06,25-02-2026,Partial,90746,89,23.48,High,2508320,438697,Australia,Quarterly
REV0084,CLT008,"Stewart, Clark and Owen",PRJ020,Engage Vertical Channels,INV0084,CON030,Sep-25,45914,1291856,USD,Accrued,Recurring,107654.67,1291856,1291856,1059321.92,232534.08,38.77,17-04-2026,Partial,161499,56,-6.52,Low,2975231,426805,USA,Annual
REV0085,CLT025,Gonzalez and Sons,PRJ016,Visualize Web-Enabled Supply-Chains,INV0085,CON042,Feb-25,45949,736624,SGD,Recognized,Recurring,61385.33,736624,736624,604031.68,132592.32,17.62,19-11-2025,Partial,465180,79,35.16,High,100773,396926,UK,Monthly
REV0086,CLT010,Orozco-Graves,PRJ018,Revolutionize Bricks-And-Clicks E-Services,INV0086,CON019,Feb-25,46133,999956,USD,Accrued,One-time,83329.67,999956,999956,819963.92,179992.08,16.85,25-03-2026,Pending,157147,77,29.72,High,1377375,481559,UK,Quarterly
REV0087,CLT023,"Ellison, Lewis and Montoya",PRJ019,Incubate Next-Generation Solutions,INV0087,CON001,May-25,45879,237249,SGD,Accrued,One-time,19770.75,237249,237249,194544.18,42704.82,39.67,15-09-2025,Pending,32721,52,35.05,Low,103537,368760,Singapore,Annual
REV0088,CLT023,"Ellison, Lewis and Montoya",PRJ010,Generate Killer Functionalities,INV0088,CON056,Sep-25,46073,280054,INR,Recognized,One-time,23337.83,280054,280054,229644.28,50409.72,34.58,06-05-2026,Overdue,327792,45,25.59,Medium,1700399,228164,Singapore,Annual
REV0089,CLT014,Mason-Bishop,PRJ006,Leverage Transparent Channels,INV0089,CON031,Mar-25,46055,1439337,INR,Recognized,One-time,119944.75,1439337,1439337,1180256.34,259080.66,39.52,05-02-2026,Pending,440382,58,-2.29,High,626591,70400,UK,Monthly
REV0090,CLT005,"White, Davis and Jennings",PRJ001,Incubate Robust Users,INV0090,CON010,Jul-25,46012,1409770,SGD,Deferred,One-time,117480.83,1409770,1409770,1156011.4,253758.6,44.12,15-08-2025,Partial,44388,22,22.11,Medium,2012722,468494,Singapore,Annual
REV0091,CLT039,Atkinson-Willis,PRJ020,Reinvent Frictionless Partnerships,INV0091,CON012,Jun-25,45881,942766,USD,Accrued,One-time,78563.83,942766,942766,773068.12,169697.88,29.32,12-05-2026,Overdue,201701,50,1.29,Medium,2635764,3895,USA,Annual
REV0092,CLT032,Bush Inc,PRJ008,Incubate Turn-Key Solutions,INV0092,CON046,Oct-25,46096,1825876,SGD,Deferred,One-time,152156.33,1825876,1825876,1497218.32,328657.68,42.43,30-09-2025,Pending,17543,9,18.41,High,1645930,59330,Singapore,Annual
REV0093,CLT031,"Dean, Spencer and Walker",PRJ003,Evolve Compelling Platforms,INV0093,CON010,Jan-25,46006,1498077,SGD,Accrued,One-time,124839.75,1498077,1498077,1228423.14,269653.86,26.27,17-10-2025,Paid,274389,83,-5.58,Medium,2745191,388857,UK,Annual
REV0094,CLT005,"White, Davis and Jennings",PRJ018,Scale 24/365 Eyeballs,INV0094,CON052,Jul-25,46056,1484607,SGD,Deferred,Recurring,123717.25,1484607,1484607,1217377.74,267229.26,41.63,14-02-2026,Paid,245822,63,15.63,Medium,2507384,384730,Singapore,Quarterly
REV0095,CLT027,Montoya-Wilson,PRJ010,Architect Bricks-And-Clicks Web-Readiness,INV0095,CON019,May-25,45941,790115,INR,Recognized,One-time,65842.92,790115,790115,647894.3,142220.7,35.44,19-10-2025,Pending,32200,85,13.66,Low,2502748,27063,India,Annual
REV0096,CLT019,Trevino-Williams,PRJ020,Incubate Leading-Edge Web-Readiness,INV0096,CON002,Aug-25,45922,1746377,USD,Deferred,Recurring,145531.42,1746377,1746377,1432029.14,314347.86,14.44,08-02-2026,Paid,446402,40,2.6,High,1278481,144293,UK,Quarterly
REV0097,CLT001,Burgess and Sons,PRJ004,Grow Global Supply-Chains,INV0097,CON039,Apr-25,45884,1604889,INR,Accrued,Recurring,133740.75,1604889,1604889,1316008.98,288880.02,33.07,13-10-2025,Pending,423541,27,3.06,High,1090677,254236,India,Monthly
