milestone_id,project_id,phase_id,milestone_name,due_date,achieved_date,milestone_status,milestone_completion_percentage
MLS0083,PRJ007,PHS0042,Support Milestone 1,17-06-2026,10-06-2026,Achieved,35
MLS0084,PRJ007,PHS0042,Support Milestone 2,17-06-2026,05-06-2026,Delayed,97
MLS0085,PRJ008,PHS0043,Requirement Gathering Milestone 1,22-09-2025,20-09-2025,Delayed,19
MLS0086,PRJ008,PHS0043,Requirement Gathering Milestone 2,22-09-2025,22-09-2025,Pending,35
MLS0087,PRJ008,PHS0044,Design Milestone 1,11-05-2026,27-04-2026,Achieved,21
MLS0088,PRJ008,PHS0044,Design Milestone 2,11-05-2026,01-05-2026,Pending,15
MLS0089,PRJ008,PHS0045,Development Milestone 1,29-04-2026,15-04-2026,Pending,31
MLS0090,PRJ008,PHS0045,Development Milestone 2,29-04-2026,16-04-2026,Cancelled,73
MLS0091,PRJ008,PHS0046,Testing Milestone 1,13-03-2026,13-03-2026,Cancelled,97
MLS0092,PRJ008,PHS0046,Testing Milestone 2,13-03-2026,28-02-2026,Achieved,55
MLS0093,PRJ008,PHS0047,Deployment Milestone 1,26-02-2026,20-02-2026,Achieved,45
MLS0094,PRJ008,PHS0047,Deployment Milestone 2,26-02-2026,18-02-2026,Cancelled,29
MLS0095,PRJ008,PHS0048,Support Milestone 1,31-08-2025,30-08-2025,Achieved,92
MLS0096,PRJ008,PHS0048,Support Milestone 2,31-08-2025,22-08-2025,Cancelled,62
MLS0097,PRJ009,PHS0049,Requirement Gathering Milestone 1,21-06-2026,06-06-2026,Pending,21
MLS0098,PRJ009,PHS0049,Requirement Gathering Milestone 2,21-06-2026,13-06-2026,Cancelled,27
MLS0099,PRJ009,PHS0050,Design Milestone 1,14-11-2025,01-11-2025,Achieved,92
MLS0100,PRJ009,PHS0050,Design Milestone 2,14-11-2025,07-11-2025,Pending,58
MLS0101,PRJ009,PHS0051,Development Milestone 1,10-09-2025,30-08-2025,Cancelled,79
MLS0102,PRJ009,PHS0051,Development Milestone 2,10-09-2025,26-08-2025,Delayed,82
MLS0103,PRJ009,PHS0052,Testing Milestone 1,16-10-2025,06-10-2025,Cancelled,44
MLS0104,PRJ009,PHS0052,Testing Milestone 2,16-10-2025,11-10-2025,Pending,50
MLS0105,PRJ009,PHS0053,Deployment Milestone 1,23-02-2026,16-02-2026,Pending,45
MLS0106,PRJ009,PHS0053,Deployment Milestone 2,23-02-2026,22-02-2026,Cancelled,77
MLS0107,PRJ009,PHS0054,Support Milestone 1,20-06-2026,09-06-2026,Achieved,30
MLS0108,PRJ009,PHS0054,Support Milestone 2,20-06-2026,17-06-2026,Achieved,94
MLS0109,PRJ010,PHS0055,Requirement Gathering Milestone 1,21-07-2025,14-07-2025,Delayed,78
MLS0110,PRJ010,PHS0055,Requirement Gathering Milestone 2,21-07-2025,20-07-2025,Achieved,83
MLS0111,PRJ010,PHS0056,Design Milestone 1,04-03-2026,20-02-2026,Delayed,32
MLS0112,PRJ010,PHS0056,Design Milestone 2,04-03-2026,27-02-2026,Achieved,85
MLS0113,PRJ010,PHS0057,Development Milestone 1,07-12-2025,27-11-2025,Delayed,85
MLS0114,PRJ010,PHS0057,Development Milestone 2,07-12-2025,07-12-2025,Delayed,82
MLS0115,PRJ010,PHS0058,Testing Milestone 1,08-04-2026,04-04-2026,Achieved,73
MLS0116,PRJ010,PHS0058,Testing Milestone 2,08-04-2026,30-03-2026,Achieved,72
MLS0117,PRJ010,PHS0059,Deployment Milestone 1,09-10-2025,08-10-2025,Pending,17
MLS0118,PRJ010,PHS0059,Deployment Milestone 2,09-10-2025,02-10-2025,Achieved,12
MLS0119,PRJ010,PHS0060,Support Milestone 1,10-12-2025,25-11-2025,Pending,52
MLS0120,PRJ010,PHS0060,Support Milestone 2,10-12-2025,04-12-2025,Achieved,53
MLS0121,PRJ011,PHS0061,Requirement Gathering Milestone 1,28-02-2026,23-02-2026,Delayed,17
MLS0122,PRJ011,PHS0061,Requirement Gathering Milestone 2,28-02-2026,28-02-2026,Achieved,85
MLS0123,PRJ011,PHS0062,Design Milestone 1,28-02-2026,24-02-2026,Pending,77
MLS0124,PRJ011,PHS0062,Design Milestone 2,28-02-2026,17-02-2026,Pending,57
MLS0125,PRJ011,PHS0063,Development Milestone 1,06-04-2026,25-03-2026,Pending,53
MLS0126,PRJ011,PHS0063,Development Milestone 2,06-04-2026,28-03-2026,Delayed,27
MLS0127,PRJ011,PHS0064,Testing Milestone 1,21-06-2026,16-06-2026,Cancelled,91
MLS0128,PRJ011,PHS0064,Testing Milestone 2,21-06-2026,06-06-2026,Delayed,32
MLS0129,PRJ011,PHS0065,Deployment Milestone 1,25-08-2025,14-08-2025,Achieved,95
MLS0130,PRJ011,PHS0065,Deployment Milestone 2,25-08-2025,20-08-2025,Cancelled,49
MLS0131,PRJ011,PHS0066,Support Milestone 1,30-08-2025,21-08-2025,Achieved,32
MLS0132,PRJ011,PHS0066,Support Milestone 2,30-08-2025,30-08-2025,Cancelled,82
MLS0133,PRJ012,PHS0067,Requirement Gathering Milestone 1,15-08-2025,14-08-2025,Achieved,87
MLS0134,PRJ012,PHS0067,Requirement Gathering Milestone 2,15-08-2025,05-08-2025,Achieved,91
MLS0135,PRJ012,PHS0068,Design Milestone 1,04-02-2026,01-02-2026,Cancelled,28
MLS0136,PRJ012,PHS0068,Design Milestone 2,04-02-2026,25-01-2026,Pending,40
MLS0137,PRJ012,PHS0069,Development Milestone 1,03-09-2025,23-08-2025,Delayed,31
MLS0138,PRJ012,PHS0069,Development Milestone 2,03-09-2025,01-09-2025,Delayed,67
MLS0139,PRJ012,PHS0070,Testing Milestone 1,14-08-2025,14-08-2025,Delayed,36
MLS0140,PRJ012,PHS0070,Testing Milestone 2,14-08-2025,07-08-2025,Pending,54
MLS0141,PRJ012,PHS0071,Deployment Milestone 1,27-12-2025,19-12-2025,Pending,10
MLS0142,PRJ012,PHS0071,Deployment Milestone 2,27-12-2025,26-12-2025,Cancelled,66
MLS0143,PRJ012,PHS0072,Support Milestone 1,25-11-2025,12-11-2025,Achieved,62
MLS0144,PRJ012,PHS0072,Support Milestone 2,25-11-2025,10-11-2025,Cancelled,54
MLS0145,PRJ013,PHS0073,Requirement Gathering Milestone 1,03-02-2026,22-01-2026,Pending,71
MLS0146,PRJ013,PHS0073,Requirement Gathering Milestone 2,03-02-2026,27-01-2026,Achieved,67
MLS0147,PRJ013,PHS0074,Design Milestone 1,15-03-2026,13-03-2026,Pending,47
MLS0148,PRJ013,PHS0074,Design Milestone 2,15-03-2026,15-03-2026,Delayed,43
MLS0149,PRJ013,PHS0075,Development Milestone 1,09-08-2025,06-08-2025,Pending,53
MLS0150,PRJ013,PHS0075,Development Milestone 2,09-08-2025,04-08-2025,Cancelled,30
MLS0151,PRJ013,PHS0076,Testing Milestone 1,02-04-2026,31-03-2026,Pending,53
MLS0152,PRJ013,PHS0076,Testing Milestone 2,02-04-2026,18-03-2026,Pending,65
MLS0153,PRJ013,PHS0077,Deployment Milestone 1,10-01-2026,05-01-2026,Cancelled,30
MLS0154,PRJ013,PHS0077,Deployment Milestone 2,10-01-2026,09-01-2026,Pending,52
MLS0155,PRJ013,PHS0078,Support Milestone 1,13-09-2025,07-09-2025,Achieved,62
MLS0156,PRJ013,PHS0078,Support Milestone 2,13-09-2025,05-09-2025,Delayed,48
MLS0157,PRJ014,PHS0079,Requirement Gathering Milestone 1,10-03-2026,03-03-2026,Pending,16
MLS0158,PRJ014,PHS0079,Requirement Gathering Milestone 2,10-03-2026,26-02-2026,Cancelled,29
MLS0159,PRJ014,PHS0080,Design Milestone 1,19-11-2025,18-11-2025,Delayed,10
MLS0160,PRJ014,PHS0080,Design Milestone 2,19-11-2025,06-11-2025,Pending,47
MLS0161,PRJ014,PHS0081,Development Milestone 1,05-05-2026,20-04-2026,Achieved,22
MLS0162,PRJ014,PHS0081,Development Milestone 2,05-05-2026,05-05-2026,Achieved,31
MLS0163,PRJ014,PHS0082,Testing Milestone 1,13-09-2025,04-09-2025,Pending,70
MLS0164,PRJ014,PHS0082,Testing Milestone 2,13-09-2025,10-09-2025,Delayed,60
MLS0165,PRJ014,PHS0083,Deployment Milestone 1,21-11-2025,06-11-2025,Cancelled,94
MLS0166,PRJ014,PHS0083,Deployment Milestone 2,21-11-2025,13-11-2025,Pending,92
MLS0167,PRJ014,PHS0084,Support Milestone 1,23-09-2025,11-09-2025,Achieved,57
MLS0168,PRJ014,PHS0084,Support Milestone 2,23-09-2025,11-09-2025,Delayed,33
MLS0169,PRJ015,PHS0085,Requirement Gathering Milestone 1,29-08-2025,15-08-2025,Pending,43
MLS0170,PRJ015,PHS0085,Requirement Gathering Milestone 2,29-08-2025,15-08-2025,Cancelled,43
MLS0171,PRJ015,PHS0086,Design Milestone 1,11-10-2025,04-10-2025,Delayed,82
MLS0172,PRJ015,PHS0086,Design Milestone 2,11-10-2025,10-10-2025,Achieved,99
MLS0173,PRJ015,PHS0087,Development Milestone 1,04-01-2026,01-01-2026,Pending,95
MLS0174,PRJ015,PHS0087,Development Milestone 2,04-01-2026,24-12-2025,Cancelled,85
MLS0175,PRJ015,PHS0088,Testing Milestone 1,12-04-2026,05-04-2026,Pending,59
MLS0176,PRJ015,PHS0088,Testing Milestone 2,12-04-2026,30-03-2026,Cancelled,83
MLS0177,PRJ015,PHS0089,Deployment Milestone 1,02-01-2026,26-12-2025,Cancelled,48
MLS0178,PRJ015,PHS0089,Deployment Milestone 2,02-01-2026,31-12-2025,Cancelled,14
MLS0179,PRJ015,PHS0090,Support Milestone 1,15-09-2025,11-09-2025,Pending,67
MLS0180,PRJ015,PHS0090,Support Milestone 2,15-09-2025,10-09-2025,Achieved,37
MLS0181,PRJ016,PHS0091,Requirement Gathering Milestone 1,20-07-2025,14-07-2025,Achieved,15
MLS0182,PRJ016,PHS0091,Requirement Gathering Milestone 2,20-07-2025,07-07-2025,Pending,97
MLS0183,PRJ016,PHS0092,Design Milestone 1,12-02-2026,30-01-2026,Achieved,90
MLS0184,PRJ016,PHS0092,Design Milestone 2,12-02-2026,08-02-2026,Delayed,50
MLS0185,PRJ016,PHS0093,Development Milestone 1,22-08-2025,20-08-2025,Pending,59
MLS0186,PRJ016,PHS0093,Development Milestone 2,22-08-2025,10-08-2025,Delayed,45
MLS0187,PRJ016,PHS0094,Testing Milestone 1,19-08-2025,05-08-2025,Pending,99
MLS0188,PRJ016,PHS0094,Testing Milestone 2,19-08-2025,06-08-2025,Pending,63
MLS0189,PRJ016,PHS0095,Deployment Milestone 1,03-04-2026,30-03-2026,Achieved,82
MLS0190,PRJ016,PHS0095,Deployment Milestone 2,03-04-2026,31-03-2026,Pending,82
MLS0191,PRJ016,PHS0096,Support Milestone 1,11-05-2026,08-05-2026,Delayed,78
MLS0192,PRJ016,PHS0096,Support Milestone 2,11-05-2026,30-04-2026,Cancelled,43
MLS0193,PRJ017,PHS0097,Requirement Gathering Milestone 1,26-11-2025,14-11-2025,Cancelled,83
MLS0194,PRJ017,PHS0097,Requirement Gathering Milestone 2,26-11-2025,11-11-2025,Pending,32
MLS0195,PRJ017,PHS0098,Design Milestone 1,19-09-2025,11-09-2025,Cancelled,28
MLS0196,PRJ017,PHS0098,Design Milestone 2,19-09-2025,07-09-2025,Pending,60
MLS0197,PRJ017,PHS0099,Development Milestone 1,04-12-2025,24-11-2025,Achieved,16
MLS0198,PRJ017,PHS0099,Development Milestone 2,04-12-2025,19-11-2025,Delayed,57
MLS0199,PRJ017,PHS0100,Testing Milestone 1,23-06-2026,23-06-2026,Delayed,48
MLS0200,PRJ017,PHS0100,Testing Milestone 2,23-06-2026,14-06-2026,Delayed,72
MLS0201,PRJ017,PHS0101,Deployment Milestone 1,18-03-2026,15-03-2026,Achieved,27
MLS0202,PRJ017,PHS0101,Deployment Milestone 2,18-03-2026,09-03-2026,Cancelled,51
MLS0203,PRJ017,PHS0102,Support Milestone 1,14-05-2026,06-05-2026,Cancelled,87
MLS0204,PRJ017,PHS0102,Support Milestone 2,14-05-2026,12-05-2026,Achieved,66
MLS0205,PRJ018,PHS0103,Requirement Gathering Milestone 1,29-12-2025,23-12-2025,Cancelled,72
MLS0206,PRJ018,PHS0103,Requirement Gathering Milestone 2,29-12-2025,18-12-2025,Pending,75
MLS0207,PRJ018,PHS0104,Design Milestone 1,06-06-2026,01-06-2026,Pending,49
MLS0208,PRJ018,PHS0104,Design Milestone 2,06-06-2026,25-05-2026,Achieved,77
MLS0209,PRJ018,PHS0105,Development Milestone 1,02-03-2026,02-03-2026,Achieved,34
MLS0210,PRJ018,PHS0105,Development Milestone 2,02-03-2026,24-02-2026,Pending,41
MLS0211,PRJ018,PHS0106,Testing Milestone 1,02-03-2026,01-03-2026,Cancelled,16
MLS0212,PRJ018,PHS0106,Testing Milestone 2,02-03-2026,19-02-2026,Achieved,45
MLS0213,PRJ018,PHS0107,Deployment Milestone 1,23-04-2026,12-04-2026,Cancelled,74
MLS0214,PRJ018,PHS0107,Deployment Milestone 2,23-04-2026,11-04-2026,Pending,97
MLS0215,PRJ018,PHS0108,Support Milestone 1,30-09-2025,30-09-2025,Achieved,57
MLS0216,PRJ018,PHS0108,Support Milestone 2,30-09-2025,15-09-2025,Cancelled,32
MLS0217,PRJ019,PHS0109,Requirement Gathering Milestone 1,09-03-2026,22-02-2026,Delayed,54
MLS0218,PRJ019,PHS0109,Requirement Gathering Milestone 2,09-03-2026,04-03-2026,Delayed,98
MLS0219,PRJ019,PHS0110,Design Milestone 1,08-02-2026,06-02-2026,Delayed,13
MLS0220,PRJ019,PHS0110,Design Milestone 2,08-02-2026,27-01-2026,Pending,30
MLS0221,PRJ019,PHS0111,Development Milestone 1,04-03-2026,26-02-2026,Achieved,92
MLS0222,PRJ019,PHS0111,Development Milestone 2,04-03-2026,25-02-2026,Achieved,44
MLS0223,PRJ019,PHS0112,Testing Milestone 1,28-09-2025,15-09-2025,Pending,97
MLS0224,PRJ019,PHS0112,Testing Milestone 2,28-09-2025,28-09-2025,Cancelled,26
MLS0225,PRJ019,PHS0113,Deployment Milestone 1,06-12-2025,01-12-2025,Pending,38
MLS0226,PRJ019,PHS0113,Deployment Milestone 2,06-12-2025,28-11-2025,Delayed,100
MLS0227,PRJ019,PHS0114,Support Milestone 1,06-04-2026,29-03-2026,Cancelled,58
MLS0228,PRJ019,PHS0114,Support Milestone 2,06-04-2026,26-03-2026,Cancelled,42
MLS0229,PRJ020,PHS0115,Requirement Gathering Milestone 1,17-04-2026,11-04-2026,Cancelled,48
MLS0230,PRJ020,PHS0115,Requirement Gathering Milestone 2,17-04-2026,05-04-2026,Pending,10
MLS0231,PRJ020,PHS0116,Design Milestone 1,07-02-2026,27-01-2026,Delayed,48
MLS0232,PRJ020,PHS0116,Design Milestone 2,07-02-2026,04-02-2026,Cancelled,18
MLS0233,PRJ020,PHS0117,Development Milestone 1,15-11-2025,05-11-2025,Delayed,91
MLS0234,PRJ020,PHS0117,Development Milestone 2,15-11-2025,05-11-2025,Delayed,43
MLS0235,PRJ020,PHS0118,Testing Milestone 1,27-06-2025,18-06-2025,Achieved,29
MLS0236,PRJ020,PHS0118,Testing Milestone 2,27-06-2025,20-06-2025,Pending,86
MLS0237,PRJ020,PHS0119,Deployment Milestone 1,15-10-2025,03-10-2025,Delayed,97
MLS0238,PRJ020,PHS0119,Deployment Milestone 2,15-10-2025,11-10-2025,Pending,93
MLS0239,PRJ020,PHS0120,Support Milestone 1,18-03-2026,03-03-2026,Delayed,43
MLS0240,PRJ020,PHS0120,Support Milestone 2,18-03-2026,05-03-2026,Cancelled,59
