forecast_id,client_id,project_id,forecast_period,predicted_revenue,expected_growth_percentage,forecast_confidence_score,forecast_category,forecast_created_date,forecast_owner
FRC00025,CLT031,PRJ004,Jul-26,2066893,31.01,97,Conservative,03-04-2026,Dale Glover
FRC00026,CLT020,PRJ020,Jul-26,1289046,-12.54,87,Optimistic,22-04-2026,April Snyder
FRC00027,CLT040,PRJ018,Jun-26,4641763,28.86,71,Realistic,26-03-2026,Joseph Huffman
FRC00028,CLT018,PRJ020,Feb-26,2546690,41.88,79,Conservative,09-11-2025,Christina Mendoza
FRC00029,CLT034,PRJ012,Oct-25,5329644,12.22,77,Conservative,20-07-2025,Melissa Kirk
FRC00030,CLT019,PRJ004,Dec-25,1769418,-4.23,90,Realistic,02-09-2025,Melissa Armstrong
FRC00031,CLT017,PRJ016,Jan-26,751225,19.62,88,Realistic,04-10-2025,Andrew Terry
FRC00032,CLT040,PRJ002,May-26,948045,0.88,78,Conservative,02-03-2026,Kevin Foster
FRC00033,CLT017,PRJ019,May-26,1871304,-1.51,77,Conservative,21-02-2026,Robert Wright
FRC00034,CLT039,PRJ002,Jan-26,4110153,-13.45,97,Realistic,04-10-2025,Jenny Hayes
FRC00035,CLT031,PRJ012,Aug-26,3339754,-5.35,94,Realistic,08-05-2026,Larry Evans
FRC00036,CLT024,PRJ020,Oct-25,4782273,-11.9,65,Optimistic,17-07-2025,Melissa Schmidt
FRC00037,CLT008,PRJ005,Sep-25,2984857,9.93,81,Conservative,13-06-2025,David Garcia
FRC00038,CLT020,PRJ019,Jul-26,4779895,14.06,84,Conservative,27-04-2026,Shannon Santiago
FRC00039,CLT032,PRJ002,Jan-26,5557552,-8.98,80,Conservative,21-10-2025,Patrick Walker
FRC00040,CLT035,PRJ002,Nov-25,841856,40.26,63,Realistic,25-08-2025,Joshua Garner
FRC00041,CLT016,PRJ017,Oct-25,5150866,-4.8,78,Conservative,16-07-2025,Adam Love
FRC00042,CLT023,PRJ019,Apr-26,4871959,3.13,60,Conservative,04-01-2026,Caleb Dunn
FRC00043,CLT039,PRJ016,Apr-26,2832345,21.42,97,Realistic,05-01-2026,Jonathan Brown
FRC00044,CLT019,PRJ011,Oct-25,4641882,32.19,95,Realistic,23-07-2025,Joseph Schultz
FRC00045,CLT017,PRJ018,Oct-25,4736073,25.34,86,Optimistic,13-07-2025,Doris Yates
FRC00046,CLT032,PRJ004,Mar-26,2526870,12.22,88,Optimistic,14-12-2025,Lorraine Smith
FRC00047,CLT024,PRJ018,May-26,3323810,-3.61,97,Optimistic,11-02-2026,Tiffany Bell
FRC00048,CLT010,PRJ020,Jan-26,3063914,17.41,86,Conservative,21-10-2025,Jason Parker
FRC00049,CLT029,PRJ012,Jul-26,1025603,41.72,65,Realistic,22-04-2026,James Walker
FRC00050,CLT018,PRJ020,Apr-26,6097403,7.85,81,Realistic,24-01-2026,Jordan Christian
FRC00051,CLT021,PRJ014,Feb-26,2341648,40.38,82,Conservative,09-11-2025,Shannon Monroe
FRC00052,CLT019,PRJ020,Jan-26,3583757,-5.72,71,Realistic,15-10-2025,Jonathan Long
FRC00053,CLT022,PRJ012,Jan-26,1717224,9.05,96,Conservative,09-10-2025,Amanda Carroll
FRC00054,CLT040,PRJ002,Oct-25,904815,10.44,74,Realistic,16-07-2025,Jerry Miller
FRC00055,CLT020,PRJ007,Dec-25,1264053,4.69,61,Realistic,30-09-2025,Matthew Jimenez
FRC00056,CLT037,PRJ013,May-26,4077818,-13.75,81,Optimistic,01-03-2026,Eugene Rasmussen
FRC00057,CLT033,PRJ004,Dec-25,5788272,6.07,96,Conservative,26-09-2025,Janet Obrien
FRC00058,CLT040,PRJ011,Nov-25,3348857,13.14,65,Conservative,06-08-2025,Lori Reyes
FRC00059,CLT038,PRJ018,Sep-25,485363,-3.71,93,Conservative,30-06-2025,Christopher West
FRC00060,CLT019,PRJ013,Jul-26,3516341,4.78,98,Conservative,06-04-2026,Brandon Douglas
FRC00061,CLT022,PRJ005,Dec-25,5173737,10.4,81,Conservative,08-09-2025,David Griffin
FRC00062,CLT011,PRJ006,Sep-25,1821143,6.86,92,Conservative,23-06-2025,Emily Dyer
FRC00063,CLT039,PRJ005,Jun-26,2611746,37.45,82,Optimistic,12-03-2026,Elizabeth Yates
FRC00064,CLT024,PRJ008,Feb-26,793118,4.12,76,Optimistic,26-11-2025,Michael Gordon
FRC00065,CLT039,PRJ017,Jun-26,1102131,-7.69,75,Conservative,15-03-2026,Andrew Wall
FRC00066,CLT006,PRJ017,Oct-25,742694,32.18,68,Optimistic,11-07-2025,Monica Martin
FRC00067,CLT012,PRJ015,Sep-25,5140467,-6.91,76,Optimistic,03-06-2025,Alyssa Mitchell
FRC00068,CLT023,PRJ002,Apr-26,3732449,7.08,87,Conservative,13-01-2026,Danielle Garcia
FRC00069,CLT021,PRJ004,Aug-26,3298869,21.16,92,Conservative,22-05-2026,Victor White
FRC00070,CLT039,PRJ015,Mar-26,1284814,23.71,85,Realistic,16-12-2025,Stephanie Fitzgerald
FRC00071,CLT002,PRJ006,Aug-26,4955868,0.71,80,Conservative,05-05-2026,Jacob Jones
FRC00072,CLT035,PRJ010,Jan-26,3233603,27.57,95,Optimistic,07-10-2025,Diana Mcconnell
FRC00073,CLT026,PRJ016,Aug-26,4003297,-7.48,93,Optimistic,19-05-2026,Gabriel Butler
FRC00074,CLT015,PRJ012,Apr-26,3252382,-3.22,61,Optimistic,12-01-2026,Peter Marks
FRC00075,CLT014,PRJ019,Jul-26,377811,17.73,98,Optimistic,03-04-2026,Mary Reynolds
FRC00076,CLT023,PRJ013,Nov-25,3758212,4.15,96,Conservative,05-08-2025,Blake Dudley
FRC00077,CLT033,PRJ015,Mar-26,3170179,41.71,87,Optimistic,19-12-2025,Gerald Jackson
FRC00078,CLT026,PRJ012,Feb-26,4146838,-3.32,69,Optimistic,26-11-2025,Jose Meyer
FRC00079,CLT003,PRJ002,Apr-26,1423974,13.42,96,Realistic,15-01-2026,Jessica Williams
FRC00080,CLT022,PRJ004,Feb-26,6214782,28.52,75,Optimistic,10-11-2025,John Barrett
FRC00081,CLT002,PRJ015,Jun-26,4277524,-2.77,89,Conservative,14-03-2026,Brenda Frazier
FRC00082,CLT017,PRJ020,Feb-26,2215627,2.91,85,Realistic,23-11-2025,Barbara Flores DDS
FRC00083,CLT003,PRJ010,Jan-26,851060,0.39,74,Optimistic,27-10-2025,Vernon Cruz
FRC00084,CLT031,PRJ004,Oct-25,1600811,9.41,86,Optimistic,06-07-2025,Colleen Murphy
FRC00085,CLT032,PRJ006,Dec-25,3050284,2.9,89,Conservative,11-09-2025,Samuel Lyons
FRC00086,CLT022,PRJ010,Jun-26,1957065,23.32,88,Realistic,07-03-2026,Rachel Larson DVM
FRC00087,CLT037,PRJ001,Feb-26,3501661,-7.91,86,Conservative,25-11-2025,Melody Armstrong
FRC00088,CLT014,PRJ008,Jun-26,790879,27.23,67,Conservative,25-03-2026,Charles Miles
FRC00089,CLT006,PRJ017,Feb-26,629954,9.93,82,Conservative,07-11-2025,Bonnie Patrick
FRC00090,CLT005,PRJ016,Jan-26,3054322,-6.87,71,Conservative,03-10-2025,Jane Rose
FRC00091,CLT015,PRJ001,Jul-26,283381,28.15,73,Optimistic,23-04-2026,Michael Hernandez
FRC00092,CLT039,PRJ002,Mar-26,537436,17.39,69,Conservative,02-12-2025,Edward Hunter
FRC00093,CLT018,PRJ002,Dec-25,1752041,-12.19,74,Realistic,15-09-2025,Matthew Fleming
FRC00094,CLT030,PRJ002,Sep-25,3943238,-6.95,72,Conservative,06-06-2025,Wendy Bennett
FRC00095,CLT031,PRJ007,Jun-26,3805849,41.23,79,Realistic,30-03-2026,Aaron Sutton
FRC00096,CLT007,PRJ016,Jan-26,3334899,9.84,95,Conservative,06-10-2025,Jessica Escobar
FRC00097,CLT032,PRJ016,Aug-25,1748373,28.22,60,Optimistic,25-05-2025,Michael Walker
FRC00098,CLT040,PRJ020,May-26,4987666,-14.6,66,Conservative,08-02-2026,Cynthia Herman
FRC00099,CLT034,PRJ009,Oct-25,3542689,7.38,60,Conservative,04-07-2025,Jacqueline Peterson
FRC00100,CLT028,PRJ011,Mar-26,1113808,-2.31,73,Conservative,05-12-2025,Suzanne Deleon
FRC00101,CLT026,PRJ003,May-26,1623961,38.79,61,Conservative,22-02-2026,James Cortez
FRC00102,CLT015,PRJ012,Jun-26,3724065,20.15,66,Optimistic,03-03-2026,Michael Watson
FRC00103,CLT018,PRJ004,Dec-25,941682,18.42,84,Optimistic,26-09-2025,John Franklin
FRC00104,CLT034,PRJ006,Nov-25,3885881,3.07,89,Optimistic,19-08-2025,Parker Hernandez
FRC00105,CLT026,PRJ011,Aug-26,4198256,10.84,80,Realistic,21-05-2026,Amber Holmes
FRC00106,CLT008,PRJ019,Mar-26,6181306,18.01,84,Optimistic,20-12-2025,Nicole Castro
FRC00107,CLT026,PRJ018,Sep-25,4486034,43.11,66,Optimistic,10-06-2025,Zachary Vazquez
FRC00108,CLT034,PRJ018,Dec-25,6248843,8.47,73,Conservative,25-09-2025,Paul Osborne
FRC00109,CLT029,PRJ015,Oct-25,648330,27.65,89,Optimistic,27-07-2025,Erin Johnson
FRC00110,CLT012,PRJ014,Jun-26,362015,-3.16,72,Realistic,22-03-2026,Daisy Hayden
FRC00111,CLT032,PRJ017,Oct-25,3095868,-8.15,69,Conservative,14-07-2025,Jennifer Bennett
FRC00112,CLT037,PRJ013,Jan-26,2137651,40.15,72,Realistic,16-10-2025,Antonio Owen
FRC00113,CLT027,PRJ016,Jun-26,4862891,18.92,77,Conservative,27-03-2026,Donald Rasmussen
FRC00114,CLT003,PRJ015,Dec-25,2401919,34.8,68,Optimistic,19-09-2025,Lisa Kim
FRC00115,CLT023,PRJ018,Apr-26,5583131,2.56,75,Conservative,14-01-2026,Kendra Ramirez
FRC00116,CLT018,PRJ014,Feb-26,4140949,37.81,64,Conservative,20-11-2025,Angela Newton
FRC00117,CLT014,PRJ016,Sep-25,3364800,19.68,72,Conservative,18-06-2025,Melissa Lawrence
FRC00118,CLT018,PRJ003,Aug-25,3825567,24.87,97,Optimistic,01-06-2025,Mary Keller
FRC00119,CLT001,PRJ011,Aug-25,1187609,13.66,70,Realistic,25-05-2025,Melissa Melton
FRC00120,CLT010,PRJ014,Nov-25,4798014,-8.97,79,Optimistic,28-08-2025,Alicia Grant
FRC00121,CLT026,PRJ010,Apr-26,609247,-8.24,90,Optimistic,26-01-2026,Amy Mcdaniel
FRC00122,CLT017,PRJ007,Apr-26,704245,2.19,85,Conservative,16-01-2026,Timothy Smith
FRC00123,CLT005,PRJ010,May-26,4390763,-9.83,93,Conservative,18-02-2026,James Benson
FRC00124,CLT011,PRJ012,Mar-26,2651402,38.99,70,Realistic,22-12-2025,Raymond Freeman
FRC00125,CLT008,PRJ008,Aug-25,4851064,36.78,64,Conservative,29-05-2025,Patricia Anderson
FRC00126,CLT004,PRJ006,Jul-26,5732547,37.62,83,Conservative,26-04-2026,James Reyes
FRC00127,CLT035,PRJ008,Oct-25,128422,17.49,63,Optimistic,12-07-2025,Brittany Walker
FRC00128,CLT015,PRJ017,Apr-26,3460582,-9.27,80,Realistic,13-01-2026,Lauren Pennington
FRC00129,CLT013,PRJ005,Oct-25,5895405,-5.14,98,Optimistic,20-07-2025,Pamela Jimenez
FRC00130,CLT006,PRJ008,Aug-26,4372715,2.93,74,Optimistic,19-05-2026,Christopher Garcia
FRC00131,CLT006,PRJ019,Jan-26,2463970,44.83,61,Realistic,11-10-2025,Chris Walker
FRC00132,CLT014,PRJ006,Dec-25,2962828,-12.92,94,Optimistic,25-09-2025,Sean Walker
FRC00133,CLT031,PRJ018,Oct-25,4655491,4.3,75,Realistic,09-07-2025,Joe Butler
FRC00134,CLT015,PRJ019,Dec-25,3789358,-0.81,71,Realistic,08-09-2025,Christopher Vega
FRC00135,CLT039,PRJ008,Jan-26,4959410,40.07,64,Realistic,21-10-2025,Mr. Benjamin Bowman MD
FRC00136,CLT007,PRJ011,Aug-25,3548741,41.92,71,Conservative,25-05-2025,Stephanie Carpenter
FRC00137,CLT037,PRJ002,Nov-25,3463430,-6.56,76,Optimistic,29-08-2025,Angela Fisher
FRC00138,CLT029,PRJ014,Oct-25,3806397,17.76,70,Conservative,29-07-2025,Angela Campbell
FRC00139,CLT039,PRJ020,Dec-25,4507384,41.55,66,Optimistic,29-09-2025,Dale Miller
FRC00140,CLT032,PRJ005,Feb-26,3841776,2.67,91,Conservative,22-11-2025,Scott Foley
FRC00141,CLT025,PRJ006,Nov-25,3841003,-12.32,95,Optimistic,31-08-2025,Alyssa Hopkins
FRC00142,CLT035,PRJ016,Sep-25,2647249,8.69,69,Conservative,06-06-2025,Jessica Goodman
FRC00143,CLT005,PRJ003,Dec-25,5688406,36.4,78,Conservative,24-09-2025,Donna Sullivan
FRC00144,CLT032,PRJ019,Dec-25,4964381,9.18,77,Realistic,23-09-2025,John Meyers
FRC00145,CLT015,PRJ005,Sep-25,4684992,10.01,68,Conservative,07-06-2025,Justin Cook
FRC00146,CLT013,PRJ002,Feb-26,370702,27.28,97,Conservative,11-11-2025,Melissa Lawson
FRC00147,CLT017,PRJ003,Apr-26,359853,36.23,98,Optimistic,03-01-2026,Nicole Chen
FRC00148,CLT020,PRJ009,May-26,3659303,-1.91,81,Realistic,05-02-2026,Jonathan Bailey
FRC00149,CLT020,PRJ007,Apr-26,5737764,-11.59,84,Conservative,27-01-2026,Diana Taylor
FRC00150,CLT013,PRJ011,Jun-26,2531968,32.09,81,Conservative,15-03-2026,Victoria Gill
FRC00151,CLT020,PRJ014,Dec-25,3693252,2.64,86,Optimistic,20-09-2025,Cameron Harris
FRC00152,CLT022,PRJ014,Nov-25,4991453,27.94,65,Optimistic,16-08-2025,Samantha Mccarty
FRC00153,CLT026,PRJ014,Mar-26,3794273,-3.04,92,Conservative,18-12-2025,Michelle White
FRC00154,CLT003,PRJ010,Jul-26,4572398,16.45,61,Conservative,09-04-2026,Calvin Barnett
FRC00155,CLT003,PRJ013,Oct-25,2960711,-12.08,73,Conservative,12-07-2025,Michael Sampson
FRC00156,CLT027,PRJ004,Aug-26,5190096,27.04,82,Conservative,07-05-2026,Carolyn Hobbs
FRC00157,CLT036,PRJ016,Aug-26,2242999,-14.84,76,Realistic,22-05-2026,Ashley Jones
FRC00158,CLT003,PRJ010,Jan-26,3520808,36.07,67,Realistic,14-10-2025,Amanda Randolph
FRC00159,CLT025,PRJ016,May-26,4549068,-7.05,90,Realistic,22-02-2026,John Pittman
FRC00160,CLT005,PRJ009,Jan-26,3238612,37.39,92,Realistic,03-10-2025,Ronald Wilkins
FRC00161,CLT032,PRJ011,Sep-25,3512389,-1.64,85,Realistic,14-06-2025,Kevin Shea
FRC00162,CLT006,PRJ020,Oct-25,3260197,-2.59,67,Optimistic,04-07-2025,John Gray
FRC00163,CLT022,PRJ012,Feb-26,2658626,27.13,66,Realistic,27-11-2025,Ryan Larson
FRC00164,CLT008,PRJ015,Feb-26,6346113,-14.74,86,Conservative,20-11-2025,Adam Day
FRC00165,CLT026,PRJ011,Jul-26,5064683,21.15,92,Conservative,22-04-2026,Julie Salazar
FRC00166,CLT008,PRJ012,Oct-25,5108815,27.61,76,Optimistic,25-07-2025,Jessica Jarvis
FRC00167,CLT019,PRJ007,Nov-25,5667486,12.16,80,Conservative,03-08-2025,Karl Harrison
FRC00168,CLT013,PRJ020,Oct-25,4370572,27.57,95,Realistic,12-07-2025,Lawrence Andrews
FRC00169,CLT017,PRJ001,Mar-26,4543428,-5.78,86,Conservative,29-12-2025,Jessica Davidson
FRC00170,CLT015,PRJ007,Feb-26,3615658,-1.89,67,Realistic,13-11-2025,Jack Johnson
FRC00171,CLT002,PRJ017,Nov-25,3639310,14.21,66,Optimistic,05-08-2025,Tonya Simmons
FRC00172,CLT028,PRJ003,Jun-26,1441953,4.9,67,Conservative,22-03-2026,Michael Weaver
FRC00173,CLT005,PRJ019,Dec-25,751440,32.21,69,Realistic,13-09-2025,Karen Fox
FRC00174,CLT024,PRJ001,Jul-26,5783979,-14.7,74,Conservative,08-04-2026,Julie Nunez
FRC00175,CLT012,PRJ019,Apr-26,542662,23.68,64,Optimistic,04-01-2026,Douglas Aguilar
FRC00176,CLT040,PRJ010,Nov-25,5667680,6.87,89,Realistic,28-08-2025,Amy Turner
FRC00177,CLT036,PRJ004,Mar-26,832779,17.32,94,Conservative,07-12-2025,Michelle Nunez
FRC00178,CLT026,PRJ008,May-26,5996798,-6.97,82,Optimistic,01-02-2026,Timothy Sexton
FRC00179,CLT005,PRJ009,Jun-26,2591728,16.07,84,Realistic,24-03-2026,Colleen Walton
FRC00180,CLT017,PRJ013,Nov-25,2214524,34.03,83,Conservative,18-08-2025,Jeffrey Barber
FRC00181,CLT015,PRJ014,Sep-25,3139395,13.73,70,Realistic,28-06-2025,Christopher Owens
FRC00182,CLT037,PRJ001,May-26,2892526,21.39,98,Conservative,09-02-2026,Robert Smith
FRC00183,CLT009,PRJ004,Aug-26,1913197,10.19,87,Conservative,16-05-2026,Carl Wilson
FRC00184,CLT034,PRJ014,Jan-26,5209717,20.34,60,Conservative,24-10-2025,Christine Williams
FRC00185,CLT034,PRJ004,May-26,126323,26.27,73,Realistic,17-02-2026,Stephanie Thomas
FRC00186,CLT012,PRJ012,Apr-26,6032939,19.66,70,Realistic,18-01-2026,Justin Weber
FRC00187,CLT010,PRJ016,Mar-26,3976217,-1.69,72,Optimistic,14-12-2025,Donna Anderson
FRC00188,CLT015,PRJ020,Sep-25,386776,-14.98,82,Realistic,22-06-2025,Nicole Rogers
FRC00189,CLT026,PRJ019,May-26,2400994,-8.61,89,Conservative,31-01-2026,James Shannon
FRC00190,CLT005,PRJ013,Jan-26,2228556,33.01,90,Realistic,03-10-2025,Kenneth Anderson
FRC00191,CLT012,PRJ007,Oct-25,1929779,0.92,90,Realistic,22-07-2025,Brandon Harding
FRC00192,CLT037,PRJ009,Jun-26,1937280,-1.67,73,Realistic,10-03-2026,James Lawrence
FRC00193,CLT040,PRJ009,Oct-25,5739828,13.28,66,Conservative,18-07-2025,Robert Williams
FRC00194,CLT028,PRJ013,Mar-26,1644883,-6.03,73,Realistic,29-12-2025,Judith Lopez
FRC00195,CLT029,PRJ011,Oct-25,3469837,40.91,80,Conservative,26-07-2025,Charles Torres
FRC00196,CLT006,PRJ013,Nov-25,3047715,37.1,98,Conservative,05-08-2025,Suzanne Robinson
FRC00197,CLT024,PRJ019,Mar-26,4162229,36.25,93,Optimistic,10-12-2025,Alexis Gibbs
FRC00198,CLT006,PRJ013,Apr-26,2147535,11.59,97,Conservative,24-01-2026,Nancy Rice
FRC00199,CLT037,PRJ014,Jul-26,5847134,17.38,91,Realistic,12-04-2026,Stacy Davis
FRC00200,CLT019,PRJ020,Mar-26,134665,9.7,94,Realistic,01-12-2025,Victoria Johnson
FRC00201,CLT009,PRJ010,Oct-25,4634340,27.03,74,Optimistic,02-08-2025,Nichole Walters
FRC00202,CLT022,PRJ014,May-26,4861557,32.49,75,Realistic,11-02-2026,Paul Johnson
FRC00203,CLT003,PRJ007,Jul-26,1121811,8.35,67,Optimistic,30-04-2026,Edward Wolf
FRC00204,CLT011,PRJ009,Aug-26,1119652,-14.46,63,Realistic,21-05-2026,Michael Blake
FRC00205,CLT007,PRJ005,Mar-26,2310486,23.68,94,Conservative,28-12-2025,Ashley Torres
FRC00206,CLT035,PRJ012,Jul-26,4260359,18.27,75,Realistic,25-04-2026,Angela Burgess
FRC00207,CLT025,PRJ007,Nov-25,4843705,21.78,62,Conservative,13-08-2025,Hannah Chan
FRC00208,CLT032,PRJ017,Mar-26,2353528,21.36,93,Optimistic,22-12-2025,Ariana Wilcox
FRC00209,CLT014,PRJ017,Feb-26,1086029,-3.63,70,Optimistic,06-11-2025,Randy Torres
FRC00210,CLT011,PRJ018,Nov-25,4321386,44.49,83,Realistic,16-08-2025,Jasmine Phillips
FRC00211,CLT003,PRJ010,Nov-25,212918,3.11,69,Optimistic,05-08-2025,Elizabeth Mckinney
FRC00212,CLT015,PRJ009,Nov-25,2865161,19.14,82,Realistic,19-08-2025,Patrick Smith
FRC00213,CLT039,PRJ001,Feb-26,3949273,-12.53,69,Optimistic,08-11-2025,Heidi Williams
FRC00214,CLT004,PRJ018,Jun-26,2836704,11.07,80,Conservative,16-03-2026,Emily Russell
FRC00215,CLT027,PRJ014,May-26,3141990,20.63,63,Optimistic,01-03-2026,Eric Moore
FRC00216,CLT022,PRJ004,Jun-26,4634083,-2.46,72,Conservative,13-03-2026,Barbara Smith
FRC00217,CLT001,PRJ003,Feb-26,2517495,6.61,95,Conservative,16-11-2025,Stephen Mason
FRC00218,CLT034,PRJ010,Jan-26,5221837,-13.9,68,Optimistic,14-10-2025,Anthony Smith
FRC00219,CLT040,PRJ008,Aug-26,2733540,43.23,87,Optimistic,11-05-2026,Virginia Powell
FRC00220,CLT005,PRJ018,May-26,1322785,37.78,98,Conservative,02-02-2026,Tammy Rivera
FRC00221,CLT015,PRJ001,Jan-26,853309,35.77,86,Optimistic,05-10-2025,Andrea Ford
FRC00222,CLT014,PRJ003,Nov-25,4434418,4.49,62,Optimistic,12-08-2025,Timothy Stokes
FRC00223,CLT003,PRJ018,Jan-26,5176082,-3.61,92,Optimistic,26-10-2025,Colleen Brooks
FRC00224,CLT035,PRJ005,Aug-26,4318374,-4.27,65,Conservative,21-05-2026,Melanie Rodriguez
FRC00225,CLT033,PRJ020,Jan-26,4270953,31.1,68,Optimistic,24-10-2025,Kristina Hall
FRC00226,CLT030,PRJ016,Jan-26,4746635,37.96,63,Optimistic,02-11-2025,Karen Henry
FRC00227,CLT003,PRJ005,Jan-26,370154,21.2,62,Optimistic,13-10-2025,Thomas Hill
FRC00228,CLT025,PRJ003,Apr-26,3949438,13.25,90,Conservative,23-01-2026,Marco Montgomery
FRC00229,CLT028,PRJ020,Aug-26,3242953,21.86,86,Realistic,09-05-2026,Roger Harris
FRC00230,CLT014,PRJ001,May-26,1981103,-10.93,81,Conservative,10-02-2026,Vickie Odom
FRC00231,CLT009,PRJ016,Sep-25,4595696,32.04,69,Realistic,17-06-2025,Laura Martin
FRC00232,CLT035,PRJ006,May-26,4231878,36.88,93,Realistic,10-02-2026,Marie Robbins
FRC00233,CLT003,PRJ007,Feb-26,1092630,32.94,84,Conservative,16-11-2025,Alexander Ellis
FRC00234,CLT003,PRJ020,May-26,941351,-12.23,77,Optimistic,13-02-2026,Mario Mccormick
FRC00235,CLT040,PRJ018,Dec-25,1028123,17.96,63,Optimistic,02-10-2025,Donna Brown
FRC00236,CLT026,PRJ006,Mar-26,4204732,4.94,74,Optimistic,20-12-2025,Dustin Mcdonald
FRC00237,CLT024,PRJ013,Jun-26,3364314,-13.18,95,Conservative,23-03-2026,Jeremy Hall
FRC00238,CLT030,PRJ013,Jan-26,4722016,17.88,96,Realistic,04-10-2025,Kendra Goodman
FRC00239,CLT021,PRJ018,Jul-26,4097452,-10.82,94,Realistic,24-04-2026,Debra Martinez
FRC00240,CLT013,PRJ007,Oct-25,3583946,28.07,67,Realistic,15-07-2025,Samantha Oconnell
FRC00241,CLT038,PRJ013,Dec-25,3026843,11.11,69,Conservative,29-09-2025,Rebecca Jackson
FRC00242,CLT006,PRJ005,Oct-25,4197725,22.39,86,Conservative,17-07-2025,Nicholas Flores
FRC00243,CLT037,PRJ016,Aug-26,3374418,42.7,63,Realistic,12-05-2026,Debra Johnson
FRC00244,CLT030,PRJ017,Feb-26,5334238,10.26,61,Realistic,04-11-2025,Cynthia King
FRC00245,CLT005,PRJ009,Sep-25,1224856,36.47,81,Optimistic,28-06-2025,Michael Thomas
FRC00246,CLT032,PRJ014,Jan-26,3633934,23.25,84,Conservative,22-10-2025,Michelle Cross
FRC00247,CLT010,PRJ017,Mar-26,4634135,11.93,66,Realistic,31-12-2025,Ashley Walls
FRC00248,CLT016,PRJ019,Jun-26,1860368,26.42,78,Realistic,09-03-2026,Eric Vazquez
FRC00249,CLT006,PRJ002,Nov-25,2029565,27.48,77,Realistic,08-08-2025,Jacob Hickman
FRC00250,CLT011,PRJ003,Mar-26,646427,44.76,73,Conservative,12-12-2025,Lisa Cox
FRC00251,CLT017,PRJ004,Mar-26,872742,11.75,90,Realistic,16-12-2025,Micheal Shaw
FRC00252,CLT005,PRJ018,Jan-26,84458,31.79,72,Optimistic,08-10-2025,Trevor Perry
FRC00253,CLT013,PRJ010,Apr-26,3573141,6.56,91,Conservative,22-01-2026,Jose Shaw
FRC00254,CLT003,PRJ011,Dec-25,3592649,-2.3,68,Optimistic,11-09-2025,Daniel Morgan
FRC00255,CLT020,PRJ004,Feb-26,1911214,14.83,62,Conservative,13-11-2025,Mr. Brian Ford Jr.
FRC00256,CLT018,PRJ005,Apr-26,3967401,-5.1,65,Conservative,02-01-2026,Ashley Nguyen
FRC00257,CLT031,PRJ005,Aug-26,1402564,12.03,95,Optimistic,09-05-2026,Sabrina Gutierrez
FRC00258,CLT040,PRJ012,Oct-25,5711824,31.22,78,Optimistic,14-07-2025,Tracy Hernandez
