phase_id,project_id,phase_name,phase_start_date,phase_end_date,phase_status,order_sequence
PHS0108,PRJ018,Support,28-07-2025,30-09-2025,Completed,6
PHS0109,PRJ019,Requirement Gathering,21-01-2026,09-03-2026,Completed,1
PHS0110,PRJ019,Design,31-12-2025,08-02-2026,In Progress,2
PHS0111,PRJ019,Development,18-12-2025,04-03-2026,Not Started,3
PHS0112,PRJ019,Testing,28-08-2025,28-09-2025,Not Started,4
PHS0113,PRJ019,Deployment,30-10-2025,06-12-2025,Not Started,5
PHS0114,PRJ019,Support,27-01-2026,06-04-2026,In Progress,6
PHS0115,PRJ020,Requirement Gathering,02-02-2026,17-04-2026,In Progress,1
PHS0116,PRJ020,Design,01-01-2026,07-02-2026,Not Started,2
PHS0117,PRJ020,Development,21-09-2025,15-11-2025,Completed,3
PHS0118,PRJ020,Testing,28-05-2025,27-06-2025,Not Started,4
PHS0119,PRJ020,Deployment,17-07-2025,15-10-2025,Completed,5
PHS0120,PRJ020,Support,21-01-2026,18-03-2026,Completed,6
